12/01/2018 03:39,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01,COMISSOES E CORRETAGENS,09/05/1996,-
02,EMBALAGENS E RECIPIENTES,09/05/1996,-
03,CUSTOS DE EMBALAR,09/05/1996,-
04,MATERIAIS E COMPONENTES,09/05/1996,-
05,"FERRAMENTAS, MATRIZES, MOLDES",09/05/1996,-
06,MATERIAIS CONSUMIDOS NA PRODUCAO,09/05/1996,-
07,PROJETOS DE ENGENHARIA,09/05/1996,-
08,'ROYALTIES' E DIREITOS DE LICENCA,03/12/1996,-
09,VALOR DE QUALQUER PARCELA,09/05/1996,-
10,FRETE INTERNO - PAIS DE EXPORTACAO,09/05/1996,-
11,SEGURO INTERNO - PAIS DE EXPORTACAO,09/05/1996,-
12,"CARGA, DESCARGA E MANUSEIO - PAIS DE EXPORTACAO",09/05/1996,-
13,FRETE INTERNACIONAL,29/04/1996,-
14,SEGURO INTERNACIONAL,29/04/1996,-
15,"CARGA, DESCARGA E MANUSEIO INTERNACIONAIS",09/05/1996,-
16,"CARGA, DESCARGA E MANUSEIO NA ENTRADA - PAIS DE IMPORTACAO",15/09/2011,-
17,OUTROS ACRESCIMOS AO VALOR ADUANEIRO,15/09/2011,-
