12/01/2018 03:39,,,
Código,Descrição,Início de Vigência,Fim de Vigência
1,1 - MATÉRIAS E OBJETOS EXPLOSIVOS,2014-09-01,-
2,2 - GASES,2014-09-01,-
3,3 - LÍQUIDOS INFLAMÁVEIS,2014-09-01,-
7,7 - MATÉRIAS RADIOATIVAS,2014-09-01,-
8,8 - MATÉRIAS CORROSIVAS,2014-09-01,-
9,9 - MATÉRIAS E OBJETOS PERIGOSOS DIVERSOS,2014-09-01,-
20,20 - EXPLOSIVOS,2014-09-01,-
41,"41 - MATÉRIAS SÓLIDAS INFLAMÁVEIS, MATÉRIAS AUTO-REATIVAS E MATÉRIAS EXPLOSIVAS",2014-09-01,-
42,42 - MATÉRIAS SUJEITAS A INFLAMAÇÃO ESPONTÂNEA,2014-09-01,-
43,"43 - MATÉRIAS QUE, EM CONTATO COM ÁGUA, LIBERTAM GASES INFLAMÁVEIS",2014-09-01,-
51,51 - MATÉRIAS COMBURENTES,2014-09-01,-
52,52 - PERÓXIDOS ORGÂNICOS,2014-09-01,-
56,56 - PLUTONIO,2014-09-01,-
61,61 - MATÉRIAS TÓXICAS,2014-09-01,-
62,62 - MATÉRIAS INFECCIOSA S,2014-09-01,-
