12/01/2018 03:39,,,,
Código,Descrição,Operação Exportação,Início de Vigência,Fim de Vigência
1,NORMAL - RECINTO ALFANDEGADO,NORMAL,2014-09-01,-
2,NORMAL - REDEX,NORMAL,2014-09-01,-
3,NORMAL - ESTABELECIMENTO EXPORTADOR,NORMAL,2014-09-01,-
4,POSTERIORI - AMBRA,POSTERIORI,2014-09-01,-
5,POSTERIORI - CONSUMO DE BORDO,POSTERIORI,2014-09-01,-
7,EMBARQUE ANTECIPADO - GRANÉIS,EMBARQUE ANTECIPADO,2014-09-01,-
8,EMBARQUE ANTECIPADO - PRODUTOS PERECÍVEIS,EMBARQUE ANTECIPADO,2014-09-01,-
9,NORMAL - SITUAÇÕES ESPECIAIS,NORMAL,2014-09-01,-
10,POSTERIORI - COMB/LUB NAV GUER ESTR,POSTERIORI,2014-09-01,-
11,POSTERIORI - VENDA PREC NÃO RESIDENTE,POSTERIORI,2014-09-01,-
12,POSTERIORI - L FRANCA VENDA JÓIA PASSAG,POSTERIORI,2014-09-01,-
13,POSTERIORI - ENERGIA ELÉTRICA,POSTERIORI,2014-09-01,-
14,EMBARQUE ANTECIPADO - PROD IND METAL/MINERAÇÃO,EMBARQUE ANTECIPADO,2014-09-01,-
15,EMBARQUE ANTECIPADO - PROD AGROIND FARDOS/SACO,EMBARQUE ANTECIPADO,2014-09-01,-
16,EMBARQUE ANTECIPADO - PASTA QUÍMICA MAD FARDOS,EMBARQUE ANTECIPADO,2014-09-01,-
17,EMBARQUE ANTECIPADO - VEÍCULOS NOVOS,EMBARQUE ANTECIPADO,2014-09-01,-
18,EMBARQUE ANTECIPADO - EM MUNICÍPIO FRONTEIRA,EMBARQUE ANTECIPADO,2014-09-01,-
19,EMBARQUE ANTECIPADO - MERC VARIA PESO UMID/AR,EMBARQUE ANTECIPADO,2014-09-01,-
20,EMBARQUE ANTECIPADO - MERC EM OP BEM PARCELADO,EMBARQUE ANTECIPADO,2014-09-01,-
28,POSTERIORI - DEPÓSITO AFIANÇADO (DAF),POSTERIORI,2014-09-01,-
32,EMBARQUE ANTECIPADO - PAPEL EM BOBINAS,EMBARQUE ANTECIPADO,2014-09-01,-
33,FRACIONADO - RECINTO ALFANDEGADO,FRACIONADO,2014-09-01,-
47,POSTERIORI -ME E EPP,POSTERIORI,2017-02-07,-
48,"AERONAVES PARTES E PEÇAS,REPARO  E RECOVERY KIT",EMBARQUE ANTECIPADO,2017-06-16,-
