12/01/2018 03:40,,,,,
Código,Descrição,Início de Vigência,Fim de Vigência,Assunto Fundamento Legal,
1,"IN RFB 1361/2013 ART. 36, CAPUT,  INC. I  - EVENTOS CIENTÍFICOS, TÉCNICOS, POLÍTICOS, EDUCACIONAIS, RELIGIOSOS, ARTÍSTICOS, CULTURAIS, ESPORTIVOS, COMERCIAIS OU ",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
2,"IN RFB 1361/2013 ART. 36, CAPUT, INC. II -  PROMOÇÃO COMERCIAL, INCLUSIVE AMOSTRAS SEM DESTINAÇÃO COMERCIAL E MOSTRUÁRIOS DE REPRESENTANTES COMERCIAIS",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
3,"IN RFB 1361/2013 ART. 36, CAPUT, INC. III - EXECUÇÃO DE CONTRATO DE ARRENDAMENTO OPERACIONAL, DE ALUGUEL, DE EMPRÉSTIMO OU DE PRESTAÇÃO DE SERVIÇOS, NO EXTERIOR",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
4,"IN RFB 1361/2013 ART. 36, CAPUT, INC. IV - PRESTAÇÃO DE ASSISTÊNCIA TÉCNICA A PRODUTOS EXPORTADOS, EM VIRTUDE DE TERMOS DE GARANTIA",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
5,"IN RFB 1361/2013 ART. 36, CAPUT, INC. V - ASSISTÊNCIA E SALVAMENTO EM SITUAÇÕES DE CALAMIDADE OU DE ACIDENTES DE QUE DECORRA DANO OU AMEAÇA DE DANO À ",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
6,"IN RFB 1361/2013 ART. 36, CAPUT, INC. VI - HOMOLOGAÇÃO, ENSAIOS, TESTES DE FUNCIONAMENTO OU RESISTÊNCIA, OU AINDA A SEREM UTILIZADOS NO DESENVOLVIMENTO ",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
7,"IN RFB 1361/2013 ART. 36, CAPUT, INC. VII - SUBSTITUIÇÃO DE OUTRO BEM OU PRODUTO NACIONAL, OU SUAS PARTES E PEÇAS, ANTERIORMENTE EXPORTADO DEFINITIVAMENTE, QUE ",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
8,"IN RFB 1361/2013 ART. 36, CAPUT, INC. VIII - ACONDICIONAMENTO E MANUSEIO DE OUTROS BENS EXPORTADOS, DESDE QUE REUTILIZÁVEIS",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
9,"IN RFB 1361/2013 ART. 36, CAPUT, INC. IX -  PASTOREIO, ADESTRAMENTO, COBERTURA E CUIDADOS DA MEDICINA VETERINÁRIA",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
10,"IN RFB 1361/2013 ART. 36, § 1º, INC. I - BEM NACIONAL OU NACIONALIZADO, PARA SER SUBMETIDO A OPERAÇÃO DE TRANSFORMAÇÃO, ELABORAÇÃO, BENEFICIAMENTO OU ",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
11,"IN RFB 1361/2013 ART. 36, § 1º, INC. II - BEM NACIONAL OU NACIONALIZADO PARA SER SUBMETIDO A PROCESSO DE CONSERTO, REPARO OU RESTAURAÇÃO",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
12,"IN RFB 1361/2013 ART. 36, § 1º, INC. III - BENS AO AMPARO DA CONVENÇÃO DE ISTAMBUL",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
13,"IN RFB 1361/2013 ART. 36, § 1º, INC. IV - OUTROS BENS OU PRODUTOS MANUFATURADOS E ACABADOS, AUTORIZADOS, EM CADA CASO, PELO RESPONSÁVEL PELA CONCESSÃO DO ",2014-12-17,-,5,EXPORTAÇÃO TEMPORÁRIA
