12/01/2018 03:40,,,,
CÛdigo,DescriÁ„o,InÌcio de VigÍncia,Fim de VigÍncia,Mercadorias
01,"RETORNO DE BENS EXPORTADOS - EXPORTACAO EM CONSIGNACAO (LEI 10865/2004 - ARTIGO 1∫, PAR. 2∫, INC. I, AL. A)",12/04/2006,-,6 - NAO INCIDENCIA                                              
02,"RETORNO DE BENS EXPORTADOS - DEVOLUCAO PARA REPARO OU SUBSTITUICAO (LEI 10865/04 - ART. 1∫, PAR. 2∫, INC.I, AL. B)",12/04/2006,-,6 - NAO INCIDENCIA                                              
03,"RETORNO DE BENS EXPORTADOS - MODIFICACOES NO PAIS IMPORTADOR (LEI 10865/04 - ART. 1∫, PAR. 2∫, INC. I, AL. C)",12/04/2006,-,6 - NAO INCIDENCIA                                              
04,"RETORNO DE BENS EXPORTADOS - GUERRA OU CALAMIDADE PUBLICA (LEI 10865/04 - ART. 1∫, PAR. 2∫, INC. I, AL. D)",12/04/2006,-,6 - NAO INCIDENCIA                                              
05,"RETORNO DE BENS EXPORTADOS - FATORES ALHEIOS AO EXPORTADOR (LEI 10865/04 - ART. 1∫, PAR. 2∫, INC. I, AL. E)",11/04/2006,-,6 - NAO INCIDENCIA                                              
06,"BENS IDENTICOS DESTINADOS A REPOSICAO DE OUTROS ANTERIORMENTE IMPORTADOS (LEI 10865/04, ART. 2∫, INC. II)",12/04/2006,-,6 - NAO INCIDENCIA                                              
07,"BENS AOS QUAIS TENHA SIDO APLICADO O REGIME DE EXPORTACAO TEMPORARIA (LEI 10865/04 - ART. 2∫, INC. VI)",12/04/2006,-,6 - NAO INCIDENCIA                                              
08,"BENS IMPORTADOS PELAS ENTIDADES BENEFICENTES DE ASSISTENCIA SOCIAL (LEI 10865/04, ART. 2∫, INC. VII)",12/04/2006,-,6 - NAO INCIDENCIA                                              
09,"PRODUTOS QUIMICOS E FARMACEUTICOS - CAPITULOS 29/30 NCM (LEI 10865/04 - ART 8∫, PAR 11, INC I, C/C DEC 5127/04)",12/04/2006,-,4 - REDUCAO                                                     
10,"PRODUTOS C/USO DEFINIDO P/LEI 10865/04 -ART 8∫,PAR 11,INC II,C/C L.11196/05 -ART 44, C/C DEC 5127/04",14/01/2010,-,4 - REDUCAO                                                     
11,"PARTES, PECAS E COMPONENTES PARA EMBARCACOES COM REGISTRO NO REB (LEI 10865/04 - ART 8∫, PAR 12, INC I, C/C DEC 5171/04)",12/04/2006,-,4 - REDUCAO                                                     
12,"RETORNO AO REG. BRASILEIRO DE EMBARCACOES CONSTRUIDAS NO BRASIL (LEI 10865/04 - ART 8∫, PAR 12, INC II, C/C DEC 5171/04)",12/04/2006,-,4 - REDUCAO                                                     
13,"PAPEL DESTINADO A IMPRESSAO DE JORNAIS (LEI 10865/04 - ART. 8∫, PAR. 12, INC. III, C/C DEC 5171/04)",12/04/2006,-,4 - REDUCAO                                                     
14,"GAS NATURAL LIQUEFEITO - GNL ( LEI 10865/04 - ART.8, PAR.12, INC. XVI - LEI 11727/08 - ART. 26)",11/03/2014,-,4 - REDUCAO                                                     
15,"BENS DESTINADOS A INDUSTRIA CINEMATOGRAFICA E AUDIOVISUAL (LEI 10865/04 - ART 8∫, PAR 12, INC V, C/C DEC 5171/04)",12/04/2006,-,4 - REDUCAO                                                     
16,"AERONAVES DA POSICAO 8802 DA NCM (LEI 10865/04 - ART 8∫, PAR 12, INC VI, C/C LEI 10925/04 - ART 6∫, C/C DEC 5171/04)",12/04/2006,-,4 - REDUCAO                                                     
17,"BENS A SEREM EMPREGADOS EM AERONAVES (LEI 10865/04 - ART 8∫,PAR 12, INC VII, C/C LEI 10925/04 - ART 6∫, C/C DEC 5171/04)",11/04/2006,-,4 - REDUCAO                                                     
18,"RECINE-REGIME ESP TRIB P/DESENV ATIV EXIB CINEMATOGRAFICA (LEI 12599/12, ART.12 E DEC. 7729/12, ART.7)",04/02/2013,-,5 - SUSPENSAO                                                   
19,"GAS NATURAL DESTINADO AS UNIDADES TERMELETRICAS INTEGRANTES DO PPT (LEI 10865/04 - ART. 8∫, PAR. 12, INC. IX)",12/04/2006,-,4 - REDUCAO                                                     
20,"PRODUTOS HORTICULAS E FRUTAS - CAPITULOS 7 E 8 DA TIPI - E OVOS - POSICAO 0407 (LEI 10865/04 - ART. 8∫, PAR. 12, INC. X)",12/04/2006,-,4 - REDUCAO                                                     
21,"SEMENS E EMBRIOES DA POSICAO 0511 DA NCM (LEI 10865/04 - ART. 8∫, PAR. 12, INC. XI)",12/04/2006,-,4 - REDUCAO                                                     
22,"LIVROS, CFE DEFINIDO NO ART. 2∫ DA LEI 10753/03 (LEI 10865/04 - ART 8∫, PAR 12, INC XII, C/C LEI 11033/04 - ART 6∫)",11/04/2006,-,4 - REDUCAO                                                     
23,"ADUBOS OU FERTILIZANTES - CAPITULO 31 DA NCM - E SUAS MAT. PRIMAS (LEI 10925/04 - ART 1∫, INC I, C/C DEC 5630/05)",12/04/2006,-,4 - REDUCAO                                                     
24,"DEFENSIVOS AGROPECUARIOS - POSICAO 3808 DA NCM - E SUAS MAT. PRIMAS (LEI 10925/04 - ART 1∫, INC II, C/C DEC 5630/05)",12/04/2006,-,4 - REDUCAO                                                     
