12/01/2018 03:40,,,
Código,Descrição,Início de Vigência,Fim de Vigência
C+F,COST PLUS FREIGHT,16/09/2011,-
C+I,COST PLUS INSURANCE,16/09/2011,-
CFR,COST AND FREIGHT,22/10/2010,-
CIF,"COST, INSURANCE AND FREIGHT",22/10/2010,-
CIP,CARRIAGE AND INSURANCE PAID TO,22/10/2010,-
CPT,CARRIAGE PAID TO,22/10/2010,-
DAP,DELIVERED AT PLACE,16/09/2011,-
DAT,DELIVERED AT TERMINAL,16/09/2011,-
DDP,DELIVERED DUTY PAID,22/10/2010,-
EXW,EX WORKS,22/10/2010,-
FAS,FREE ALONGSIDE SHIP,22/10/2010,-
FCA,FREE CARRIER,22/10/2010,-
FOB,FREE ON BOARD,22/10/2010,-
OCV,OUTRA CONDICAO DE VENDA,22/12/2010,-
