12/01/2018 03:40,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01,AID - AGENCY FOR INTERNATIONAL DEVELOPMENT (AGENCIA PARA O DESENVOLVIMENTO INTERNACIONAL) - ESTADOS UNIDOS,17/12/1996,-
03,BAD - BANQUE AFRICAINE DE DEVELOPMENT (BANCO AFRICANO DE DESENVOLVIMENTO),19/12/1996,-
04,BID - INTER-AMERICAN DEVELOPMENT BANK (BANCO INTERAMERICANO DE DESENVOLVIMENTO),19/12/1996,-
06,BIRD - INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT (BANCO INTERNACIONAL P/ A RECONSTRUCAO E O DESENVOLVIMENTO),19/12/1996,-
07,BND - NATIONAL BANK OF DENMARK (BANCO NACIONAL DA DINAMARCA) - DINAMARCA,19/12/1996,-
08,BLADEX - BANCO LATINOAMERICANO DE EXPORTACIONES,19/12/1996,-
09,CCC - COMMODITY CREDIT AND CORPORATION (CORPORACAO DE CREDITO PARA PRODUTOS PRIMARIOS) - ESTADOS UNIDOS,19/12/1996,-
10,CECA - EUROPEAN COAL AND STEEL COMMUNITY (COMUNIDADE EUROPEIA DO CARVAO E DO ACO),18/12/1996,-
12,CESCE - CIA ESPANOLA DE SEGUROS DE CRED. A LA EXPORT - ESPANHA,18/12/1996,-
13,CFF - COOPERATIVE FINANCING FACILITY - EXIMBANK - ESTADOS UNIDOS,18/12/1996,-
14,IFC - INTERNATIONAL FINANCE CORPORATION (CORPORACAO FINANCEIRA INTERNACIONAL - CFI) - VINCULADA AO BIRD,18/12/1996,-
15,IIC - INTERAMERICAN INVESTMENT CORPORATION (CORPORACAO INTERAMERICANA DE INVESTIMENTOS - CII) - VINCULADA AO BID,18/12/1996,-
16,CGD - CAIXA GERAL DE DEPOSITOS - PORTUGAL,15/03/1996,-
17,CIDA - CANADIAN INTERNATIONAL DEVELOPMENT AGENCY - CANADA',15/03/1996,-
18,COFACE - CIE. FRANCAISE D'ASSURANCE POUR LE COMMERCE EXTERIEUR - FRANCA,18/12/1996,-
19,CWB - CANADIAN WHEAT BOARD (JUNTA CANADENSE DO TRIGO) - CANADA',18/12/1996,-
20,CREDIT NATIONAL - FRANCA,15/03/1996,-
21,DECC - DANISH EXPORT CREDIT COUNCIL - DINAMARCA,15/03/1996,-
22,DEG - DEUTSCHE G. FUR WIRTSCHAFTLICHE ZUSAMENARBEIT - ALEMANHA,18/12/1996,-
23,DOD - DEPARTMENT OF DEFENSE - ESTADOS UNIDOS,15/03/1996,-
26,ECGD - EXPORT CREDIT GUARANTEE DEPARTMENT - INGLATERRA,15/03/1996,-
27,EDC - EXPORT DEVELOPMENT CORPORATION - CANADA',15/03/1996,-
28,EKN - EXPORTKREDITNAMNDEN (CONSELHO DE SEGURO DE CREDITO 'A EXPORTACAO) - SUECIA,18/12/1996,-
29,ERG - EXPORTRISKOGARANTIE (GARANTIA CONTRA RISCOS DE EXPORTACAO) - SUICA,18/12/1996,-
31,JBIC - JAPAN BANK FOR INTERNATIONAL COOPERATION,30/12/2000,-
32,EXIMBANK - EXPORT IMPORT BANK OF THE UNITED STATES - ESTADOS UNIDOS,18/12/1996,-
35,FIDA - FUNDO INTERNACIONAL PARA O DESENVOLVIMENTO AGRICOLA (INTERNATIONAL FUND FOR AGRICULTURAL DEVELOPMENT - IFAD),18/12/1996,-
36,FAD - FONDS AFRICAIN DE DEVELOPMENT (FUNDO AFRICANO DE DESENVOLVIMENTO),18/12/1996,-
37,FCIA - FOREIGN CREDIT INSURANCE ASSOCIATION (ASSOCIACAO DE SEGURO DE CREDITO EXTERNO) - ESTADOS UNIDOS,19/12/1996,-
38,FMI - INTERNATIONAL MONETARY FUND (FUNDO MONETARIO INTERNACIONAL),19/12/1996,-
39,FONPLATA - FONDO FINANCIERO PARA EL DESARROLLO DE LA CUENCA DEL PLATA (FUNDO FINANC. PARA O DESENVOLV.DA BACIA DO PRATA),19/12/1996,-
40,FMO - NEDERLANDSCHE FIN. MAATSCHAPPIJ VOOR ONTWIKLANDEN - HOLANDA,19/12/1996,-
42,GIEK - GARANTI INSTITTUED EKSPORTKREDIT - NORUEGA,15/03/1996,-
45,HERMES KREDITVERSICHERUNGS A.G. - ALEMANHA,15/03/1996,-
48,IDA - INTERNATIONAL DEVELOPMENT ASSOCIATION (ASSOCIACAO INTERNACIONAL DE DESENVOLVIMENTO) - VINCULADA AO BIRD,17/12/1996,-
49,JADECO - JAPAN BRAZIL AGRICULTURAL DEVELOPMENT CORPORATION,15/03/1996,-
51,JICA - JAPAN INTERNATIONAL CORPORATION AGENCY - JAPAO,15/03/1996,-
54,KFW - KREDITANSTALT FUR WIEDERAUFBAU (CORPORACAO DE EMPRESTIMO 'A RECONSTRUCAO) - ALEMANHA,18/12/1996,-
57,NCM - NEDERLANDSCHE CREDIETVARZEKERING MAATSCHAPPIJ N. V. - HOLANDA,19/12/1996,-
61,ODA - OVERSEAS DEVELOPMENT AGENCY - INGLATERRA,15/03/1996,-
62,OECF - OVERSEAS ECONOMIC COOPERATION FUND - JAPAO,15/03/1996,-
63,OKB - OESTERREICHISCHE KONTROL BANK - AUSTRIA,15/03/1996,-
64,OND - OFFICE NATIONAL DU DUCROIRE - BELGICA,15/03/1996,-
65,OPIC - OVERSEAS PRIVATE INVESTMENT CORPORATION - ESTADOS UNIDOS,18/12/1996,-
69,SACE - SEZIONE PER LASSIC. DEL CREDITO ALLO EXP. - ITALIA,15/03/1996,-
70,SEK - SVENSKA EXPORT KREDIT - SUECIA,15/03/1996,-
94,ENTIDADES OFICIAIS ESTRANGEIRAS - SUPPLIER'S CREDITS,15/03/1996,-
95,ENTIDADES PARTICULARES ESTRANGEIRAS - SUPPLIER'S CREDITS,15/03/1996,-
96,ENTIDADES PARTICULARES ESTRANGEIRAS - BUYER'S CREDITS,15/03/1996,-
97,ENTIDADES OFICIAIS ESTRANGEIRAS - BUYER'S CREDITS,15/03/1996,-
99,OUTROS NAO ESPECIFICADOS,15/03/1996,-
