12/01/2018 03:42,,,,
Código,Descrição,Início de Vigência,Fim de Vigência,Classe Mercadoria Perigosa
4,PICRATO DE AMÓNIO SECO OU HUMEDECIDO COM MENOS DE 10% (MASSA)DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
5,"CARTUCHOS PARA ARMAS COM CARGA DE REBENTAMENTO  REF.: 0006, 0007, 0321, 0348, 0412",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
9,"MUNIÇÕES INCENDIÁRIAS COM OU SEM CARGA DE DISPERSÃO, CARGA DEEXPULSÃO OU CARGA PROPULSORA REF.: ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
12,CARTUCHOS COM PROJÉCTIL INERTE PARA ARMAS OUCARTUCHOS PARA ARMAS DE PEQUENO CALIBRE  REF.: ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
14,CARTUCHOS SEM PROJÉCTIL PARA ARMAS OU CARTUCHOS SEMPROJÉCTIL PARA ARMAS DE PEQUENO CALIBRE  ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
15,"MUNIÇÕES FUMÍGENAS COM OU SEM CARGA DE DISPERSÃO, CARGA DEEXPULSÃO OU CARGA PROPULSORA REF.: ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
18,"MUNIÇÕES LACRIMOGÉNEAS COM CARGA DE DISPERSÃO, CARGA DEEXPULSÃO OU CARGA PROPULSORA REF.: 0019",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
20,"MUNIÇÕES TÓXICAS, COM CARGA DE DISPERSÃO, CARGA DE EXPULSÃO OUCARGA PROPULSORA REF.: 0021",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
27,PÓLVORA NEGRA SOB A FORMA DE GRÃOS OU DE POLVORIM,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
28,PÓLVORA NEGRA COMPRIMIDA OU PÓLVORA NEGRA EMCOMPRIMIDOS,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
29,"DETONADORES DE DESMONTE NÃO ELÉCTRICOS  REF.: 0267, 0455",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
30,"DETONADORES DE DESMONTE ELÉCTRICOS  REF.: 0255, 0456",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
33,"BOMBAS COM CARGA DE REBENTAMENTO  REF.: 0034, 0035, 0291",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
37,"BOMBAS FOTO-RELÂMPAGO  REF.: 0038, 0039, 0299",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
42,REFORÇADORES SEM DETONADOR REF.: 0283,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
43,CARGAS DE DISPERSÃO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
44,"CÁPSULAS DE PERCUSSÃO  REF.: 0377, 0378",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
48,CARGAS DE DEMOLIÇÃO,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
49,CARTUCHOS RELÂMPAGO  REF.: 0050,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
54,"CARTUCHOS DE SINALIZAÇÃO  REF.: 0312, 0405",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
55,CAIXAS DE CARTUCHOS VAZIAS INICIADORAS  REF.: 0379,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
56,CARGAS DE PROFUNDIDADE,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
59,"CARGAS OCAS INDUSTRIAIS SEM DETONADOR  REF.: 0439, 0440, 0441",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
60,CARGAS DE TRANSMISSÃO EXPLOSIVAS,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
65,CORDÃO DETONANTE FLEXÍVEL  REF.: 0289,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
66,MECHA DE COMBUSTÃO RÁPIDA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
70,CORTADORES PIROTÉCNICOS EXPLOSIVOS,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
72,"CICLOTRIMETILENOTRINITRAMINA HUMEDECIDA(CICLONITE, HEXOGÉNIO, RDX), COM PELO MENOS 15% (MASSA) ",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
73,"DETONADORES PARA MUNIÇÕES  REF.: 0364, 0365, 0366",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
74,DIAZODINITROFENOL HUMEDECIDO COM PELO MENOS 40%(MASSA) DE ÁGUA OU DE UMA MISTURA DE ÁLCOOL E ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
75,DINITRATO DE DIETILENOGLICOL DESSENSIBILIZADO COMPELO MENOS 25% (MASSA) DE FLEUMATIZANTE NÃO ,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
76,DINITROFENOL SECO OU HUMEDECIDO COM MENOS DE 15% (MASSA) DEÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
77,"DINITROFENOLATOS DE METAIS ALCALINOS, SECOS OU HUMEDECIDOS COMMENOS DE 15% (MASSA) DE ÁGUA",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
78,DINITRORESORCINOL SECO OU HUMEDECIDO COM MENOS DE 15%(MASSA) DE ÁGUA,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
79,"HEXANITRODIFENILAMINA (DIPICRILAMINA, HEXIL)",2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
81,EXPLOSIVO DE DESMONTE DO TIPO A,2014-09-01,-,1 - MATÉRIAS E OBJETOS EXPLOSIVOS
