12/01/2018 03:42,,,,
Código,Descrição,País,Início de Vigência,Fim de Vigência
005,AFEGANE/AFEGANIST,AFEGANISTAO,01/06/2005,-
009,BIRR/ETIOPIA,ETIOPIA,01/08/2012,-
015,BATH,TAILANDIA,07/12/1984,-
020,BALBOA,PANAMA,26/12/1983,-
026,BOLIVAR FORTE/VEN,VENEZUELA,02/01/2008,-
030,BOLIVIANO/BOLIVIA,"BOLIVIA, ESTADO PLURINACIONAL DA",20/09/1993,-
035,CEDI,GANA,07/12/1984,-
040,COLON COSTARRIQUENHO,COSTA RICA,30/12/1996,-
045,COLON SALVADORENHO,EL SALVADOR,30/12/1996,-
051,CORDOBA OURO,NICARAGUA,01/08/2012,-
055,COROA DINAM/DINAM,DINAMARCA,01/07/2003,-
060,COROA ISLANDESA,ISLANDIA,26/12/1983,-
065,COROA NORUE/NORUE,NORUEGA,01/07/2003,-
070,COROA SUECA/SUECI,SUECIA,16/04/2002,-
075,COROA TCHECA,"TCHECA, REPUBLICA",29/03/1999,-
090,DALASI,GAMBIA,07/12/1984,-
095,DINAR ARGELINO,ARGELIA,26/12/1983,-
100,DINAR COVEITEANO,COVEITE,26/12/1983,-
105,DINAR DE BAHREIN,"BAHREIN, ILHAS",07/12/1984,-
115,DINAR/IRAQUE,IRAQUE,01/06/2005,-
125,DINAR JORDANIANO,JORDANIA,07/12/1984,-
130,DINAR LIBIO,LIBIA,26/12/1983,-
132,DINAR/MACEDONIA,"MACEDONIA, ANT.REP.IUGOSLAVA",31/05/2005,-
133,DINAR SERVIO/SERV,-,01/06/2005,-
134,DINAR/SUDAO,SUDAO,01/06/2005,-
135,DINAR TUNISIANO,TUNISIA,07/12/1984,-
136,LIBRA SUL SUDANESA,SUDAO DO SUL,17/02/2017,-
138,DIREITO ESPECIAL,-,26/12/1983,-
139,DIRHAM DE MARROCOS,MARROCOS,30/12/1996,-
145,DIRHAM EMIR.ARABES,EMIRADOS ARABES UNIDOS,30/12/1996,-
148,DOBRA/S.TOME PRIN,"SAO TOME E PRINCIPE, ILHAS",01/08/2012,-
150,DOLAR AUSTRALIANO,AUSTRALIA,01/07/2003,-
155,DOLAR/BAHAMAS,"BAHAMAS, ILHAS",01/06/2005,-
160,DOLAR/BERMUDAS,BERMUDAS,01/06/2005,-
165,DOLAR CANADENSE,CANADA,26/12/1983,-
170,DOLAR DA GUIANA,GUIANA,07/12/1984,-
173,DÓLAR DA NAMÍBIA,NAMIBIA,08/04/2003,-
175,DOLAR DE BARBADOS,BARBADOS,07/12/1984,-
180,DOLAR/BELIZE,BELIZE,01/08/2012,-
185,DOLAR BRUNEI,BRUNEI,09/11/2010,-
190,DOLAR/CAYMAN,"CAYMAN, ILHAS",31/08/2005,-
195,DOLAR DE CINGAPURA,CINGAPURA,30/12/1996,-
197,UNIDADE DE FOMENTO DO CHILE,CHILE,17/02/2017,-
200,DOLAR/FIJI,FIJI,01/06/2005,-
205,DOLAR DE HONG-KONG,HONG KONG,30/12/1996,-
210,DOLAR DE TRINIDADE,TRINIDAD E TOBAGO,30/12/1996,-
215,DOLAR DO CARIBE O,-,24/04/1997,-
217,DOLAR DE ZIMBABUE,ZIMBABUE,07/12/1984,-
220,DOLAR DOS EUA,ESTADOS UNIDOS,03/04/2002,-
230,DOLAR JAMAICANO,JAMAICA,26/12/1983,-
235,DOLAR/LIBERIA,LIBERIA,01/06/2005,-
245,DOLAR/NOVA ZELAND,NOVA ZELANDIA,01/07/2003,-
250,DOLAR IL SALOMAO,"SALOMAO, ILHAS",01/08/2012,-
255,DOLAR/SURINAME,SURINAME,06/09/2005,-
260,DONGUE/VIETNAN,VIETNA,07/12/1984,-
275,DRAM/ARMENIA REP,"ARMENIA, REPUBLICA DA",05/03/2004,-
295,ESCUDO CABO VERDE,"CABO VERDE, REPUBLICA DE",01/08/2012,-
325,FLORIM/ANT. HOLAN,ANTILHAS HOLANDESAS,26/12/1983,-
328,FLORIM/ARUBA,ARUBA,01/08/2012,-
345,FORINT,"HUNGRIA, REPUBLICA DA",23/12/1999,-
363,FRANCO CONGOLES,"CONGO, REPUBLICA DEMOCRATICA DO",01/08/2012,-
365,FRANCO DE BURUNDI,BURUNDI,26/12/1983,-
368,FRANCO/COMORES,"COMORES, ILHAS",01/08/2012,-
370,FRANCO/COM.FIN.AF,-,26/12/1983,-
372,FRANCO/CFA OESTE,-,07/01/2010,-
380,FRANCO COL FRANC,-,07/12/1984,-
390,FRANCO/DJIBUTI,DJIBUTI,01/08/2012,-
398,FRANCO GUINÉ,GUINE,21/01/2013,-
406,ARIARY MADAGASCAR,MADAGASCAR,01/08/2012,-
420,FRANCO DE RUANDA,RUANDA,26/12/1983,-
425,FRANCO SUICO,SUICA,26/12/1983,-
440,GOURDE,HAITI,07/12/1984,-
450,GUARANI,PARAGUAI,26/12/1983,-
460,HRYVNIA UCRANIA,UCRANIA,01/08/2012,-
470,IENE,JAPAO,26/12/1983,-
482,LARI GEORGIA,"GEORGIA, REPUBLICA DA",01/08/2012,-
490,LEK ALBANIA REP,"ALBANIA, REPUBLICA  DA",01/08/2012,-
495,LEMPIRA,HONDURAS,07/12/1984,-
500,LEONE,SERRA LEOA,07/12/1984,-
503,"LEU/MOLDAVIA, REP","MOLDAVIA, REPUBLICA DA",01/08/2012,-
506,NOVO LEU/ROMENIA,ROMENIA,28/04/2015,-
510,"LEV/BULGARIA, REP","BULGARIA, REPUBLICA DA",01/08/2012,-
530,LIBRA/GIBRALTAR,GIBRALTAR,01/08/2012,-
535,LIBRA EGIPCIA,EGITO,07/12/1984,-
540,LIBRA ESTERLINA,REINO UNIDO,26/12/1983,-
545,LIBRA/FALKLAND,FALKLAND (ILHAS MALVINAS),01/08/2012,-
560,LIBRA LIBANESA,LIBANO,26/12/1983,-
570,LIBRA/STA HELENA,SANTA HELENA,01/08/2012,-
575,LIBRA SIRIA,"SIRIA, REPUBLICA ARABE DA",07/12/1984,-
585,LILANGENI/SUAZIL,SUAZILANDIA,01/08/2012,-
603,LOTI/LESOTO,LESOTO,01/08/2012,-
607,MANAT,"AZERBAIJAO, REPUBLICA DO",03/08/1994,-
608,NOVO MANAT TURCOM,"TURCOMENISTAO, REPUBLICA DO",29/01/2010,-
612,MARCO CONV BOSNIA,BOSNIA-HERZEGOVINA (REPUBLICA DA),01/08/2012,-
622,NOVA METICAL/MOCA,MOCAMBIQUE,18/07/2006,-
625,NAKFA/ERITREIA,ERITREIA,27/09/2002,-
630,NAIRA/NIGERIA,NIGERIA,26/12/1983,-
635,CUANZA/ANGOLA,ANGOLA,04/08/2005,-
640,NOVO DOLAR TAIWAN,FORMOSA (TAIWAN),04/09/1998,-
642,NOVA LIRA/TURQUIA,TURQUIA,18/07/2006,-
660,NOVO SOL/PERU,PERU,01/02/1991,-
665,NGULTRUM/BUTAO,BUTAO,01/08/2012,-
670,UGUIA MAURITANIA,MAURITANIA,01/08/2012,-
680,PAANGA,TONGA,24/07/2012,-
685,PATACA/MACAU,MACAU,16/06/2005,-
706,PESO ARGENTINO,ARGENTINA,13/03/2009,-
715,PESO CHILENO,CHILE,26/12/1983,-
720,PESO COLOMBIANO,COLOMBIA,26/12/1983,-
725,PESO CUBANO,CUBA,01/08/2012,-
730,PESO DOMINICANO,REPUBLICA DOMINICANA,26/12/1983,-
735,PESO FILIPINO,FILIPINAS,26/12/1983,-
738,PESO/GUINE BISSAU,GUINE-BISSAU,01/06/2005,-
741,PESO/MEXICO,MEXICO,06/08/1998,-
745,PESO/URUGUAIO,URUGUAI,14/08/2002,-
755,PULA/BOTSWANA,BOTSUANA,01/08/2012,-
760,QUACHA DE MALAVI,MALAVI,07/12/1984,-
766,QUACHA ZAMBIA,ZAMBIA,01/08/2012,-
770,QUETZAL,GUATEMALA,07/12/1984,-
775,QUIATE/BIRMANIA,MIANMAR (BIRMANIA),07/12/1984,-
776,KARBOVANETS,UCRANIA,03/08/1994,-
778,KINA/PAPUA N GUIN,PAPUA NOVA GUINE,01/08/2012,-
779,KUNA/CROACIA,CROACIA (REPUBLICA DA),01/08/2012,-
780,"QUIPE/LAOS, REP","LAOS, REP.POP.DEMOCR.DO",01/08/2012,-
785,RANDE,AFRICA DO SUL,26/12/1983,-
790,REAL/BRASIL,BRASIL,15/04/1999,-
795,IUAN RENMIMBI,"CHINA, REPUBLICA POPULAR",02/06/1999,-
796,RENMINBI HONG KONG,HONG KONG,01/08/2012,-
800,RIAL DE CATAR,CATAR,07/12/1984,-
805,RIAL/OMA,OMA,06/01/2000,-
810,RIAL IEMENITA,IEMEN,07/12/1984,-
815,"RIAL/IRAN, REP","IRA, REPUBLICA ISLAMICA DO",01/06/2005,-
820,RIAL SAUDITA,ARABIA SAUDITA,26/12/1983,-
825,RIEL/CAMBOJA,CAMBOJA,01/08/2012,-
828,RINGGIT (MALASIA),MALASIA,25/07/2003,-
830,RUBLO/RÚSSIA,"RUSSIA, FEDERACAO DA",17/11/2015,-
831,RUBRO BELARUS,"BELARUS, REPUBLICA DA",17/02/2017,-
835,SOMONI TADJIQUIST,"TADJIQUISTAO, REPUBLICA DO",01/08/2012,-
840,RUPIA DE MAURICIO,MAURICIO,07/12/1984,-
845,RUPIA DE NEPAL,NEPAL,07/12/1984,-
850,RUPIA/SEYCHELES,SEYCHELLES,01/08/2012,-
855,RUPIA DE SRILANKA,SRI LANKA,07/12/1984,-
860,RUPIA INDIANA,INDIA,26/12/1983,-
865,RUPIA DA INDONESIA,INDONESIA,30/12/1996,-
870,RUFIA/MALDIVAS,MALDIVAS,01/08/2012,-
875,RUPIA PAQUISTANES,PAQUISTAO,26/12/1983,-
880,SHEKEL,ISRAEL,26/12/1983,-
892,SOM QUIRGUISTAO,"QUIRGUIZ, REPUBLICA",29/01/2010,-
893,SOM/UZBEQUISTAO,"UZBEQUISTAO, REPUBLICA DO",30/09/1999,-
905,TACA/BANGLADESH,BANGLADESH,07/12/1984,-
912,TALA SAMOA,SAMOA,17/02/2017,-
913,TENGE/CASAQISTAO,"CAZAQUISTAO, REPUBLICA DO",01/06/2005,-
915,TUGRIK/MONGOLIA,MONGOLIA,01/08/2012,-
918,UNID.MONET.EUROP.,-,26/12/1983,-
920,VATU VANUATU,VANUATU,01/08/2012,-
925,WON/COREIA NORTE,"COREIA (DO NORTE), REP.POP.DEMOCRATICA",01/08/2012,-
930,WON,"COREIA (DO SUL), REPUBLICA DA",07/12/1984,-
946,XELIM/TANZANIA,"TANZANIA, REP.UNIDA DA",01/08/2012,-
950,XELIM DE QUENIA,QUENIA,07/12/1984,-
955,XELIM DE UGANDA,UGANDA,07/12/1984,-
960,XELIM SOMALIANO,SOMALIA,07/12/1984,-
975,ZLOTY/POLONIA,"POLONIA, REPUBLICA DA",15/10/2010,-
978,EURO/COM.EUROPEIA,-,09/08/2001,-
998,DOLAR OURO,-,31/03/1997,-
