12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01,BENS DESTINADOS A PESQ. CULT./CIENT. EFETUADAS P/ EXPED. AUTORIZADAS P/ SPHAN/CNPQ ART. 292 RA E ITEM 2-I IN-SRF 136/87,20/12/1996,-
02,BENS DESTINADOS A REALIZACAO DE PROJETOS DE PESQUISA APROVADOS PELO CNPQ ART. 292 RA E ITEM 2-II IN-SRF 136/87,20/12/1996,-
03,"BENS DESTINADOS A EXPOSICOES ARTISTICAS,CULTURAIS E CIENTIF. ART.292 RA E ITEM 2-III IN/SRF 136/87",20/12/1996,-
04,"BENS DESTINADOS A EXPOSICOES, FEIRAS COMERCIAIS OU INDUSTR. AUTORIZADAS PELO MICT ART.292 RA, ART. 2 IN-SRF 55/94",20/12/1996,-
05,"BENS DESTINADOS A ESPETACULOS MUSICAIS, TEATRAIS, CIRCENSES E SEMELHANTES - ART.292 RA E ITEM 2-V IN-SRF 136/87",19/12/1996,-
06,BENS DESTINADOS A EXPOSICOES AGROPECUARIAS AUTORIZADAS PELO MINIST. AGRIC. ART. 292 RA E ITEM 2-VI IN-SRF 136/87,20/12/1996,-
07,BENS DESTINADOS A DESFILES DE MODAS OU EMPREENDIMENTOS CONGE NERES ART. 292 RA E ITEM 2-VII IN-SRF 136/87,20/12/1996,-
08,BENS DESTINADOS A COMPETICOES OU EXIBICOES DESPORTIVAS - ART.292 RA E ITEM 2-VIII IN-SRF 136/87,19/12/1996,-
09,BENS DESTINADOS A SERVIR DE MODELO INDUSTRIAL - ART.292 RA E ITEM 2-IX IN-SRF 136/87,19/12/1996,-
10,"BENS DESTINADOS A TESTES, CONSERTOS, REPAROS OU RESTAURACOES ART. 292 RA E IN 150/99, ART.5°, §1°, II.",10/04/2002,-
11,VEICULOS DE TURISTAS ESTRANGEIROS ART. 293 RA E ITEM 3-I IN- SRF 136/87,20/12/1996,-
12,VEICULOS DE BRASIL. RESID. NO EXTERIOR QUE INGRESSAREM NO PAIS EM CARATER TEMPORARIO ART.293 RA E ITEM 3-II IN-SRF 136/87,20/12/1996,-
13,"EQUIP. DE JORNALISTAS, FOTOGR. E CINEGRAF. VINDOS AO BRASIL EM MISSãO PROFIS. ART. 293 RA E ITEM 3-III IN-SRF 136/87",20/12/1996,-
14,"RECIPIENTES, ENVOLTORIOS E EMBALAGENS - ART. 293 RA E ITEM 3-IV IN-SRF 136/87",19/12/1996,-
15,APARELHOS PARA TESTE OU CONTROLE - ART. 293 RA E ITEM 3-V IN-SRF 136/87,20/12/1996,-
16,ANIMAIS REPR. P/ COBERT. EM ESTACAO DE MONTA COM RETORNO CHEIA OU COM CRIA AO PE - ART.293 RA E ITEM 3-VI IN-SRF 136/87,19/12/1996,-
17,"ANIMAIS PARA SEREM MEDICADOS, FERRADOS OU CASTRADOS - ART. 293 RA E ITEM 3-VII IN-SRF 136/87",19/12/1996,-
18,ANIMAIS PARA PASTAR OU TRABALHAR- ART. 293 RA E ITEM 3.VIII IN-SRF 136/87,19/12/1996,-
19,ANIMAIS PARA PARTICIPAR DE CONCURSOS OU EXPOSICOES - ART. 293 RA E ITEM 3-IX IN-SRF 136/87,20/12/1996,-
20,MOSTRUARIOS DE REPRESENTANTES COMERCIAIS - ART. 293 RA E ITEM 3-X IN-SRF 136/87,20/12/1996,-
21,AMOSTRAS COM VALOR COMERCIAL- ART. 293 RA E ITEM 3-XI IN-SRF 136/87,19/12/1996,-
22,MATERIAL DIDATICO OU PEDAGOGICO - ART. 293 RA E ITEM 3-XII IN-SRF 136/87,19/12/1996,-
23,INSTR. APAR. FERRAM. TRAZIDAS P/ TECN. P/ TRAB. MONTAGEM TES TES/REPAR. MAQ./QUIP. ART. 293 RA ITEM 3-III IN-SRF 136/87,20/12/1996,-
24,"MOLDES, MATRIZES E CHAPAS- ART. 293 RA E ITEM 3-XIV IN-SRF 136/87",20/12/1996,-
25,"MAQ/QUIP/VEICULOS COD.8705, APAR.ETC..,IMPORTADOS P/EXECUCAO CONTR/EMPR NAC/ESTR COM PETROBRAS- ART 1 IN-SRF 40/96",19/12/1996,-
26,EMBARCACOES ESTR. E RESPECTIVOS EQUIP. BEM COMO MAQUINAS ETC. P/ UTILIZACAO NAS MESMAS ITEM 4-II IN-SRF 136/87,20/12/1996,-
27,"AERONAVES, INCLUSIVE HELICOPTEROS E RESPECTIVOS EQUIPAMENTOS ITEM 4-III IN-SRF 136/87",19/12/1996,-
28,MAQ. EQUIP. VEIC. APAR. INSTR. SEM SIMILAR NAC. IMPORT. P/ EMPRESA ENG. P/ EXEC. OBRAS NO EXTERIOR ITEM 4-V IN-SRF 136/87,19/12/1996,-
29,"ETIQ. ROTULOS, PLACAS, SELOS ETC.. IMPORT. P/ APLICACAO MERC ADORIA DEST. A EXPORTACAO ITEM 4-VI IN-SRF 136/87",19/12/1996,-
30,MODELOS INDUSTRIAIS OU AMOSTRAS COMERCIAIS PARA PRODUCAO DE BENS DESTINADOS A EXPORTACAO ITEM 4-VII IN-SRF 136/87,19/12/1996,-
31,"GASOLINA DE AVIACAO, PETROLEO BRUTO E SEUS DERIVADOS IMP. P/ PETROBRAS, DESTINADOS EXPORTACAO ITEM 4-VIII IN-SRF 136/87",19/12/1996,-
32,"BENS DE USO PROFIS. OU DOMESTICO, EXCL. VEICULOS TRAZIDOS P/ ESTRANGEIROS C/ VISTO TEMP/OFICIAL ITEM 4-IX IN-SRF 136/87",19/12/1996,-
33,PECAS E OUTROS MATERIAIS TRAZIDOS POR TECNICOS P/MONTA GEM/TESTES/REPAROS MAQ/EQUIP. ITEM 4-X IN-SRF 136/87,20/12/1996,-
34,"MAQUINAS, APARELHOS, EQUIPAMENTOS, FERRAMENTAS IMPORTADOS PELA ITAIPU BINACIONAL ITEM 4-XI IN-SRF 136/87",19/12/1996,-
35,MATER. REPOS./CONSERTO P/ USO EM EMBARC./AER./OUTROS VEICU LOS EM TRANSITO/ADMIS. TEMPORARIA ITEM 4-XII IN-SRF 136/87,20/12/1996,-
36,MATERIAIS DE REPOS./CONSERTO DE CONTEINERES EM TRANSITO OU ADMISSAO TEMPORARIA ITEM 4-XIII IN-SRF 136/87,19/12/1996,-
37,FILMES CINEMATOGRAFICOS E FITAS DE VIDEOS DESTINADOS A SEREM COPIADOS NO PAIS ITEM 4-XIV IN-SRF 136/87,20/12/1996,-
38,FOTOLITOS A SEREM UTILIZADOS NA IMPRESSAO DE OBRAS GRAFICAS DESTINADAS A EXPORTACAO ITEM 4-XV IN-SRF 136/87,20/12/1996,-
39,"FITAS GRAVADAS PARA VIDEOCASSETE, DESTINADAS A EXIBICAO EM EMBARCACOES ESTRANGEIRAS ITEM 4-XVI IN-SRF 136/87",20/12/1996,-
40,MAQ. EQUIP. APAR. E INSTRUM. P/ DEMOSTR. EM CONGRESSO/CONFER.E ESTAB. ENSINO OU DO BENEFICIARIO ART 1 ITEM I IN-SRF 38/94,19/12/1996,-
41,"MAQUINAS, EQUIP. APARELHOS,INSTRUMENTOS P/ AVALIACAO DO SEU DESEMPENHO E FUNCIONAMENTO ART. 1 ITEM II IN-SRF 38/94",19/12/1996,-
42,MAQ/EQUIP/VEIC...IMPORT. P/EMPRESA EST/NAC. P/ EXECUCAO OBRASDECORRENTES CONCORRENCIA INTERNACIONAL ART 2 IN-SRF 13/96,19/12/1996,-
43,SUPORTES P/ VESTUARIO DEST. EXPORT...P/ SEREM AGREGADOS AS EMBAL. DE EXP./EXPOSICAO P/ VENDA ART 1 ITEM IV IN-SRF 38/94,19/12/1996,-
44,MAQ/EQUIP/APAR/INSTR. TRAZIDOS P/ TEC. BRASILEIRO QUE RETOR NE EM CARATER TEMPOR. P/TRAB.TEC. ART 1 ITEM V IN-SRF 38/94,20/12/1996,-
45,"MAQ/APAR/INSTRUM. QUE ..., SAO POSTOS A DISPOSICAO DO CLI ENTE PELO FORNECEDOR/REPARADOR ART 1 ITEM VI IN-SRF 38/94",20/12/1996,-
