12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01,CÓDIGO INUTILIZADO - ADMISSÃO TEMPORÁRIA DE BENS DE CARÁTER CULTURAL.,24/05/2016,-
02,"FEIRAS, EXPOSIÇÕES, CONGRESSOS E OUTROS EVENTOS CIENTÍFICOS, POLÍTICOS, EDUCACIONAIS, ESPORTIVOS OU RELIGIOSOS.",25/05/2016,-
03,"ATIVIDADES DE PESQUISA CIENTÍFICA E DESENVOLVIMENTO TECNOLÓGICO - CNPQ, FINEP E INSTITUIÇÕES CREDENCIADAS PELO CNPQ.",24/05/2016,-
04,"EVENTOS E PROJETOS CULTURAIS - ESPETÁCULOS, EXPOSIÇÕES E OUTROS.",24/05/2016,-
05,COMPETIÇÕES DESPORTIVAS INTERNACIONAIS COM PARTICIPANTES RESIDENTES OU DOMICILIADOS NO EXTERIOR.,24/05/2016,-
06,"FEIRAS, EXPOSIÇÕES E OUTROS EVENTOS COMERCIAIS OU INDUSTRIAIS.",24/05/2016,-
07,"PROMOÇÃO COMERCIAL, INCLUSIVE AMOSTRAS SEM DESTINAÇÃO COMERCIAL E MOSTRUÁRIOS DE REPRESENTANTES COMERCIAIS.",24/05/2016,-
08,"BENS PARA MONTAGEM, MANUTENÇÃO, CONSERTO OU REPARO DE BENS ESTRANGEIROS OU NACIONALIZADOS.",24/05/2016,-
09,"CÓDIGO INUTILIZADO - BENS DESTINADOS A REPOSIÇÃO E CONSERTO DE EMBARCAÇÕES, AERONAVES E OUTROS VEÍCULOS.",24/05/2016,-
10,PARTES E PEÇAS PARA SUBSTITUIÇÃO EXCLUSIVA EM BENS ESTRANGEIROS.,24/05/2016,-
11,"REPOSIÇÃO TEMPORÁRIA DE BENS IMPORTADOS, EM VIRTUDE DE GARANTIA.",24/05/2016,-
12,"APERFEIÇOAMENTO ATIVO-BENEFICIAMENTO,MONTAGEM,RENOVAÇÃO,RECONDICIONAMENTO,CONSERTO,REPARO DO BEM EM ADM.TEMPORÁRIA.",02/06/2016,-
13,"CÓDIGO INUTILIZADO - BENS DESTINADOS AO ACONDICIONAMENTO OU MANUSEIO DE OUTROS BENS IMPORT., DESDE QUE REUTILIZÁVEIS.",24/05/2016,-
14,"CÓDIGO REVOGADO - BENS DESTINADOS A IDENTIF., ACONDICIONAMENTO OU MANUSEIO DE OUTROS BENS DESTINADOS A EXPORT.",24/05/2016,-
15,"REPRODUÇÃO DE FONOGRAMAS E DE OBRAS AUDIOVISUAIS, IMPORTADOS SOB A FORMA DE MATRIZES.",24/05/2016,-
