12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
30,INVESTIMENTO DE CAPITAL ESTRANGEIRO,15/03/1996,-
31,OPERACOES DE DOMICILIADOS NO EXTERIOR,15/03/1996,-
39,"AMOSTRAS DE VALOR ATE US$1000,00 (HUM MIL DOLARES DOS ESTADOSUNIDOS)",28/05/1997,-
40,ENCOMENDAS POSTAIS NAO CLASSIFICADAS ESPECIFICAMENTE,15/03/1996,-
41,"AMOSTRAS DE VALOR SUPERIOR A US$1000,00 (HUM MIL DOLARES DOS ESTADOS UNIDOS)",28/05/1997,-
42,BAGAGEM - AUTOMOVEIS PARA PASSAGEIROS,15/03/1996,-
43,BAGAGEM - OUTRAS,15/03/1996,-
44,FEIRAS E EXPOSICOES,15/03/1996,-
45,MERCADORIAS EM RETORNO,15/03/1996,-
46,MERCADORIAS EM DEVOLUCAO,15/03/1996,-
47,"MERCADORIAS IMPORTADAS TEMPORARIAMENTE (EXCETO ARRENDAMENTO SIMPLES, ALUGUEL E AFRETAMENTO)",15/03/1996,-
48,DONATIVOS,15/03/1996,-
49,SOFTWARE,13/06/1997,-
50,REGIME DE DRAWBACK,15/03/1996,-
51,NACIONALIZACAO DE MERCADORIA ADMITIDA ANTERIORMENTE EM REGIME ADUANEIRO ESPECIAL OU ATIPICO,15/03/1996,-
52,ADMISSAO EM REGIME ADUANEIRO ESPECIAL OU ATIPICO,15/03/1996,-
54,TRANSFERENCIA ENTRE REGIMES ADUANEIROS ESPECIAIS OU ATIPICOS,15/03/1996,-
55,REPAROS NAVAIS,15/03/1996,-
56,OUTROS REPAROS,15/03/1996,-
57,ARRENDAMENTO FINANCEIRO COM PRAZO SUPERIOR A 360 DIAS E COM AMORTIZACAO IGUAL OU SUPERIOR A 75% DO VALOR DO BEM,15/03/1996,-
58,ARRENDAMENTO FINANCEIRO COM PRAZO DE ATE' 360 DIAS E COM AMORTIZACAO IGUAL OU SUPERIOR A 75% DO VALOR DO BEM,15/03/1996,-
66,ARRENDAMENTO OPERACIONAL COM PRAZO SUPERIOR A 360 DIAS E COM AMORTIZACAO INFERIOR A 75% DO VALOR DO BEM,15/03/1996,-
67,ARRENDAMENTO OPERACIONAL COM PRAZO DE ATE' 360 DIAS E COM AMORTIZACAO INFERIOR A 75% DO VALOR DO BEM,15/03/1996,-
70,ARRENDAMENTO SIMPLES - SEM OPCAO DE COMPRA - ALUGUEL OU AFRETAMENTO - PRAZO SUPERIOR A 360 DIAS,15/03/1996,-
71,ARRENDAMENTO SIMPLES - SEM OPCAO DE COMPRA - ALUGUEL OU AFRETAMENTO - PRAZO DE ATE' 360 DIAS,15/03/1996,-
99,OUTRAS IMPORTACOES SEM COBERTURA CAMBIAL,15/03/1996,-
