12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
0000151,REPAROS NAVAIS,01/12/1992,-
0101101,"CAVALOS DE ""PEDIGREE""",01/12/1992,-
0101191,CAVALOS PARA CORRIDA,01/12/1992,-
0101192,CAVALOS PARA POLO,01/12/1992,-
0101193,CAVALOS PARA REPRODUCAO,01/12/1992,-
0101194,CAVALOS PARA TRABALHO,01/12/1992,-
0101199,OS DEMAIS CAVALOS,01/12/1992,-
0101201,ASNOS DE PEDRIGREE,01/12/1992,-
0101299,"OS DEMAIS ASNOS, SEM PEDIGREE",01/12/1992,-
0101301,MULOS,01/12/1992,-
0102101,VACUNS REPRODUTORES DE PEDIGREE,01/12/1992,-
0102109,OS DEMAIS VACUNS DE PEDIGREE,01/12/1992,-
0102111,BEZERROS E VITELAS PUROS POR CRUZA,01/12/1992,-
0102119,OS DEMAIS VACUNS PUROS POR CRUZA,01/12/1992,-
0102191,AS DEMAIS BEZERRAS E VITELAS,01/12/1992,-
0102192,OS DEMAIS VACUNS PARA CONSUMO,01/12/1992,-
0102199,OS DEMAIS VACUNS,01/12/1992,-
0102901,"BUFALOS, EXCETO REPRODUTORES DE RACA PURA",01/12/1992,-
0102902,BUFALOS REPRODUTORES DE RACA PURA,01/12/1992,-
0102999,OS DEMAIS ANIMAIS VIVOS DA ESPECIE BOVINA,01/12/1992,-
0103101,"SUINOS DE ""PEDIGREE""",01/12/1992,-
0103199,OS DEMAIS SUINOS,01/12/1992,-
0103901,JAVALIS,01/12/1992,-
0103999,OS DEMAIS ANIMAIS VIVOS DA ESPECIE SUINA,01/12/1992,-
0104101,"OVINOS DE ""PEDIGREE""",01/12/1992,-
0104111,OVINOS PUROS POR CRUZA,01/12/1992,-
0104121,OVINOS (CAPOES),01/12/1992,-
0104199,OS DEMAIS OVINOS,01/12/1992,-
0104201,"CAPRINOS DE ""PEDIGREE""",01/12/1992,-
0104299,OS DEMAIS CAPRINOS SEM PEDIGREE,01/12/1992,-
0105101,"PINTOS CHAMADOS DE ""UM DIA"", DE ""PEDIGREE""",01/12/1992,-
0105102,"GALINHAS DE ""PEDIGREE""",01/12/1992,-
0105109,"GALOS DE ""PEDIGREE""",01/12/1992,-
0105191,AS DEMAIS GALINHAS,01/12/1992,-
