12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01011010,Cavalos,13/03/2007,-
01011090,Outros,13/03/2007,-
01011990,,21/02/2013,-
01019011,De corrida,13/03/2007,-
01019019,Outros,13/03/2007,-
01019090,Outros,13/03/2007,-
01021000,Reprodutores de raça pura,13/03/2007,-
01029000,Outros,13/03/2007,-
01031000,Reprodutores de raça pura,13/03/2007,-
01039100,De peso inferior a 50 kg,13/03/2007,-
01039200,De peso igual ou superior a 50 kg,13/03/2007,-
01041010,Reprodutores de raça pura,13/03/2007,-
01041090,Outros,13/03/2007,-
01042010,Reprodutores de raça pura,13/03/2007,-
01042090,Outros,13/03/2007,-
01051100,Galos e galinhas,13/03/2007,-
01051200,Peruas e perus,13/03/2007,-
01051910,Patos,13/03/2007,-
01051990,Outros,13/03/2007,-
01059200,Galos e galinhas de peso não superior a 2.000 g,13/03/2007,-
01059300,Galos e galinhas de peso superior a 2.000 g,13/03/2007,-
01059400,Galos e galinhas,01/01/2008,-
01059900,Outros,13/03/2007,-
01061100,Primatas,13/03/2007,-
01061200,"Baleias, golfinhos e marsuínos (mamíferos da ordem",13/03/2007,-
01061900,Outros,13/03/2007,-
01062000,Répteis (incluídas as serpentes e as tartarugas,13/03/2007,-
01063100,Aves de rapina,13/03/2007,-
01063200,"Psitaciformes (incluídos os papagaios, os",13/03/2007,-
01063900,Outras,13/03/2007,-
01069000,Outros,13/03/2007,-
02011000,Carcaças e meias-carcaças,13/03/2007,-
02012000,Outras peças não desossadas,13/03/2007,-
02013000,Desossadas,13/03/2007,-
02021000,Carcaças e meias-carcaças,13/03/2007,-
02022000,Outras peças não desossadas,13/03/2007,-
02023000,Desossadas,13/03/2007,-
02031100,Carcaças e meias-carcaças,13/03/2007,-
02031200,"Pernas, pás e respectivos pedaços, não desossados",13/03/2007,-
02031910,Toucinho entremeado,13/03/2007,-
02031990,Outras,13/03/2007,-
02032100,Carcaças e meias-carcaças,13/03/2007,-
02032200,"Pernas, pás e respectivos pedaços, não desossados",13/03/2007,-
02032910,Toucinho entremeado,13/03/2007,-
02032990,Outras,13/03/2007,-
02041000,"Carcaças e meias-carcaças de cordeiro, frescas ou",13/03/2007,-
02042100,Carcaças e meias-carcaças,13/03/2007,-
02042200,Outras peças não desossadas,13/03/2007,-
02042300,Desossadas,13/03/2007,-
02043000,"Carcaças e meias-carcaças de cordeiro, congeladas",13/03/2007,-
02044100,Carcaças e meias-carcaças,13/03/2007,-
02044200,Outras peças não desossadas,13/03/2007,-
02044300,Desossadas,13/03/2007,-
02045000,Carnes de animais da espécie caprina,13/03/2007,-
02050000,"Carnes de animais das espécies cavalar, asinina e",13/03/2007,-
02061000,"Da espécie bovina, frescas ou refrigeradas",13/03/2007,-
02062100,Línguas,13/03/2007,-
02062200,Fígados,13/03/2007,-
02062910,Rabos,13/03/2007,-
02062990,Outras,13/03/2007,-
02063000,"Da espécie suína, frescas ou refrigeradas",13/03/2007,-
02064100,Fígados,13/03/2007,-
02064900,Outras,13/03/2007,-
02068000,"Outras, frescas ou refrigeradas",13/03/2007,-
02069000,"Outras, congeladas",13/03/2007,-
02071100,"Não cortadas em pedaços, frescas ou refrigeradas",13/03/2007,-
02071200,"Não cortadas em pedaços, congeladas",13/03/2007,-
02071310,Pedaços,13/03/2007,-
02071320,Miudezas,13/03/2007,-
02071410,Pedaços,13/03/2007,-
02071420,Miudezas,13/03/2007,-
02072400,"Não cortadas em pedaços, frescas ou refrigeradas",13/03/2007,-
02072500,"Não cortadas em pedaços, congeladas",13/03/2007,-
02072610,Pedaços,13/03/2007,-
02072620,Miudezas,13/03/2007,-
02072710,Pedaços,13/03/2007,-
02072720,Miudezas,13/03/2007,-
02073200,"Não cortadas em pedaços, frescas ou refrigeradas",13/03/2007,-
02073300,"Não cortadas em pedaços, congeladas",13/03/2007,-
02073400,"Fígados gordos (""foies gras""), frescos ou",13/03/2007,-
02073500,"Outras, frescas ou refrigeradas",13/03/2007,-
02073510,"EM PEDACOS, FRESCAS OU REFRIGERADAS",15/08/2007,-
02073610,Pedaços,13/03/2007,-
02073620,Miudezas,13/03/2007,-
02081000,De coelhos ou de lebres,13/03/2007,-
02082000,Coxas de rã,13/03/2007,-
02083000,De primatas,13/03/2007,-
02084000,"De baleias, golfinhos e marsuínos (mamíferos da",13/03/2007,-
02085000,De répteis (incluídas as serpentes e as tartarugas,13/03/2007,-
02089000,Outras,13/03/2007,-
02090011,"Fresco, refrigerado ou congelado",13/03/2007,-
02090019,Outros,13/03/2007,-
02090021,"Fresca, refrigerada ou congelada",13/03/2007,-
02090029,Outras,13/03/2007,-
02090090,Outros,13/03/2007,-
02101100,"Pernas, pás e respectivos pedaços, não desossados",13/03/2007,-
02101200,"Barrigas e peitos, entremeados, e seus pedaços",13/03/2007,-
02101900,Outras,13/03/2007,-
02102000,Carnes da espécie bovina,13/03/2007,-
02109100,De primatas,13/03/2007,-
02109200,"De baleias, golfinhos e marsuínos (mamíferos da",13/03/2007,-
02109300,De répteis (incluídas as serpentes e as tartarugas,13/03/2007,-
02109900,Outras,13/03/2007,-
03011000,Peixes ornamentais,13/03/2007,-
03019100,"Trutas (Salmo trutta, Oncorhynchus mykiss,",13/03/2007,-
03019200,Enguias (Anguilla spp.),13/03/2007,-
03019300,Carpas,13/03/2007,-
03019400,Albacoras-azuis (Thunnus thynnus),01/01/2008,-
03019500,Atuns-do-sul (Thunnus maccoyii),01/01/2008,-
03019900,Outros,13/03/2007,-
03021100,"Trutas (Salmo trutta, Oncorhynchus mykiss,",13/03/2007,-
03021200,"Salmões-do-pacífico (Oncorhynchus nerka,",13/03/2007,-
03021900,Outros,13/03/2007,-
03022100,"Linguados-gigantes (Reinhardtius hippoglossoides,",13/03/2007,-
03022200,Solhas ou patruças (Pleuronectes platessa),13/03/2007,-
03022300,Linguados (Solea spp.),13/03/2007,-
03022900,Outros,13/03/2007,-
03023100,Atuns-brancos ou germões (Thunnus alalunga),13/03/2007,-
03023200,Albacoras ou atuns-de-barbatanas-amarelas (Thunnus,13/03/2007,-
03023300,Bonitos-listrados ou bonitos-de-ventre-raiado,13/03/2007,-
03023400,Albacoras-bandolim (patudos) (Thunnus obesus),13/03/2007,-
03023500,"Albacoras-azuis (atuns-azuis, atuns-verdadeiros,",13/03/2007,-
03023600,Atuns do sul (Thunnus maccoyii),13/03/2007,-
03023900,Outros,13/03/2007,-
03024000,"Arenques (Clupea harengus, Clupea pallasii),",13/03/2007,-
03025000,"Bacalhaus (Gadus morhua, Gadus ogac, Gadus",13/03/2007,-
03026100,"Sardinhas (Sardina pilchardus, Sardinops spp.),",13/03/2007,-
03026200,Haddocks (eglefinos* ou arincas*) (Melanogrammus,13/03/2007,-
03026300,Peixes-carvão (escamudos negros*) (Pollachius,13/03/2007,-
03026400,"Cavalas, cavalinhas e sardas* (Scomber scombrus,",13/03/2007,-
03026500,Esqualos,13/03/2007,-
03026600,Enguias (Anguilla spp.),13/03/2007,-
03026700,Espadartes (Xiphias gladius),01/01/2008,-
03026800,Marlongas (Dissostichus spp.),01/01/2008,-
03026900,Outros,13/03/2007,-
03027000,"Fígados, ovas e sêmen",13/03/2007,-
03031000,"SALMOES., EXCETO FIGADOS, OVAS E SEMEN",08/02/2013,-
03031100,Salmões vermelhos (Oncorhynchus nerka),13/03/2007,-
03031900,Outros,13/03/2007,-
03032100,"Trutas (Salmo trutta, Oncorhynchus mykiss,",13/03/2007,-
03032200,Salmões-do-atlântico (Salmo salar) e,13/03/2007,-
03032900,Outros,13/03/2007,-
03033100,Linguados-gigantes (alabotes*) (Reinhardtius,13/03/2007,-
03033200,Solhas ou patruças (Pleuronectes platessa),13/03/2007,-
03033300,Linguados (Solea spp.),13/03/2007,-
03033900,Outros,13/03/2007,-
03034100,Atuns-brancos ou germões (Thunnus alalunga),13/03/2007,-
03034200,Albacoras ou atuns-de-barbatanas-amarelas (Thunnus,13/03/2007,-
03034300,Bonitos-listrados ou bonitos-do-ventre-raiado,13/03/2007,-
03034400,Albacoras-bandolim (patudos) (Thunnus obesus),13/03/2007,-
03034500,"Albacoras-azuis (atuns-azuis, atuns-verdadeiros,",13/03/2007,-
03034600,Atuns do sul (Thunnus maccoyii),13/03/2007,-
