12/01/2018 04:13,,,,,,,,,,,
Código NCM,Descrição NCM,Código do Atributo,Descrição do Atributo,Código da Especificação,Descrição da Especificação,Início de Vigência da Especificação,Fim de Vigência da Especificação,Número do Ato,Tipo do Ato,Ano do Ato,Órgão Emissor do Ato
5111,TECIDOS DE LÃ CARDADA OU DE PÊLOS FINOS CARDADOS,AA,BENEFICIAMENTO,0001,Crus ou branqueados,01/07/2012,-,001268,IN,2012,SRF
5112,TECIDOS DE LÃ PENTEADA OU DE PÊLOS FINOS PENTEADOS,AA,BENEFICIAMENTO,0001,Crus ou branqueados,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AA,MATÉRIA PRIMA BASE,0001,Aço baixo carbono,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AB,PROCESSO DE FABRICAÇÃO,0001,Sem tratamento,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AC,ACABAMENTO SUPERFICIAL,0001,Sem tratamento,01/07/2012,-,001268,IN,2012,SRF
1201,"Soja, mesmo triturada.",AA,COLORAÇÃO,0001,Amarela,01/07/2012,-,001268,IN,2012,SRF
1201,"Soja, mesmo triturada.",AB,TIPO,0001,1,01/07/2012,-,001268,IN,2012,SRF
1201,"Soja, mesmo triturada.",AC,ACONDICIONAMENTO,0001,A granel,01/07/2012,-,001268,IN,2012,SRF
5111,TECIDOS DE LÃ CARDADA OU DE PÊLOS FINOS CARDADOS,AA,BENEFICIAMENTO,0002,Tintos em peça,01/07/2012,-,001268,IN,2012,SRF
5111,TECIDOS DE LÃ CARDADA OU DE PÊLOS FINOS CARDADOS,AA,BENEFICIAMENTO,0003,De fios tintos,01/07/2012,-,001268,IN,2012,SRF
5111,TECIDOS DE LÃ CARDADA OU DE PÊLOS FINOS CARDADOS,AA,BENEFICIAMENTO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
5112,TECIDOS DE LÃ PENTEADA OU DE PÊLOS FINOS PENTEADOS,AA,BENEFICIAMENTO,0002,Tintos em peça,01/07/2012,-,001268,IN,2012,SRF
5112,TECIDOS DE LÃ PENTEADA OU DE PÊLOS FINOS PENTEADOS,AA,BENEFICIAMENTO,0003,De fios tintos,01/07/2012,-,001268,IN,2012,SRF
5112,TECIDOS DE LÃ PENTEADA OU DE PÊLOS FINOS PENTEADOS,AA,BENEFICIAMENTO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AA,MATÉRIA PRIMA BASE,0002,Aço médio carbono,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AA,MATÉRIA PRIMA BASE,0003,Aço liga,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AA,MATÉRIA PRIMA BASE,0004,Aço inox,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AA,MATÉRIA PRIMA BASE,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AB,PROCESSO DE FABRICAÇÃO,0002,Cementação,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AB,PROCESSO DE FABRICAÇÃO,0003,Têmpera/revenimento,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AB,PROCESSO DE FABRICAÇÃO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AC,ACABAMENTO SUPERFICIAL,0002,Galvanização,01/07/2012,-,001268,IN,2012,SRF
7318,"PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUND",AC,ACABAMENTO SUPERFICIAL,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
1201,"Soja, mesmo triturada.",AA,COLORAÇÃO,0002,Verde,01/07/2012,-,001268,IN,2012,SRF
1201,"Soja, mesmo triturada.",AA,COLORAÇÃO,0003,Marrom,01/07/2012,-,001268,IN,2012,SRF
1201,"Soja, mesmo triturada.",AA,COLORAÇÃO,0004,Preta,01/07/2012,-,001268,IN,2012,SRF
1201,"Soja, mesmo triturada.",AA,COLORAÇÃO,0005,Mista,01/07/2012,-,001268,IN,2012,SRF
1201,"Soja, mesmo triturada.",AA,COLORAÇÃO,9999,Outros,01/07/2012,-,001268,IN,2012,SRF
