12/01/2018 04:13,,,,
Código,Descrição,CGC,Início de Vigência,Fim de Vigência
ANCINE,ANCINE - AGENCIA NACIONAL DO CINEMA,04.884.574/0001-20,16/12/2014,-
ANEEL,ANEEL - AGENCIA NACIONAL DE ENERGIA ELETRICA,02.270.669/0001-29,16/12/2014,-
ANP,ANP - AGENCIA NACIONAL DO PETROLEO,37.115.383/0034-11,16/12/2014,-
ANVISA,ANVISA - AGENCIA NACIONAL DE VIGILANCIA SANITARIA,00.530.493/0001-71,16/12/2014,-
BB,BB - BANCO DO BRASIL,00.000.000/0001-91,16/12/2014,-
BEFIEX,PROGRAMAS BEFIEX,00.394.478/0124-00,02/12/1996,-
BNDES,BANCO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL,33.657.248/0001-89,28/12/2017,-
CNEN,CNEN - COMISSAO NACIONAL DE ENERGIA NUCLEAR,00.402.552/0001-26,16/12/2014,-
CNPQ,CNPQ - CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,33.654.831/0001-36,16/12/2014,-
CONFAZ,CONFAZ - CONSELHO NACIONAL DE POLITICA FAZENDARIA/SECRETARIAS DE FAZENDA ESTADUAIS,-,06/03/2015,-
COTAC,MIN.AERON. - COMISSAO COORDENADORA DO TRANSPORTE AEREO CIVIL,00.394.429/0043-60,16/12/2014,-
DEAEX,DEAEX - DEPARTAMENTO DE ESTATISTICA E APOIO A EXPORTACAO,-,16/12/2014,-
DECEX,DECEX - DEPARTAMENTO DE OPERACOES DE COMERCIO EXTERIOR,00.394.478/0121-50,16/12/2014,-
DEPLA,DEPARTAMENTO DE PLANEJAMENTO E DESENVOLVIMENTO DO COMERCIO EXTERIOR,-,17/11/2010,-
DFPC,DFPC - DIRETORIA DE FISCALIZACAO DE PRODUTOS CONTROLADOS-COMANDO DO EXERCITO,00.394.452/0273-03,16/12/2014,-
DNPM,DNPM - DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL,00.381.056/0010-24,16/12/2014,-
DPF,DPF - DEPARTAMENTO DE POLICIA FEDERAL,00.394.494/0014-50,16/12/2014,-
ECT,ECT - EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,34.028.316/0001-03,16/12/2014,-
GESTOR,MICT/DECEX/GESTOR,00.394.478/0001-43,03/01/1997,-
IBAMA,IBAMA - INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVAVEIS,03.659.166/0001-02,16/12/2014,-
INMETRO,INMETRO - INSTITUTO NACIONAL DE METROLOGIA,00.662.270/0003-20,16/12/2014,-
MAPA,"MAPA - MINISTERIO DA AGRICULTURA,PECUARIA E ABASTECIMENTO",00.396.895/0042-01,16/12/2014,-
MCT,"MCTI - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",03.132.745/0001-00,16/12/2014,-
MIN.DEFESA,MD - MINISTERIO DA DEFESA,-,16/12/2014,-
MRE,MINISTERIO DAS RELACOES EXTERIORES,00.394.536/0006-43,28/12/2017,-
RECEITA,RFB - RECEITA FEDERAL DO BRASIL,-,16/12/2014,-
SDAVO,AUDIOVISUAL,01.264.142/0021-72,17/11/2003,-
SECEX,SECEX - SECRETARIA DE COMERCIO EXTERIOR,00.394.478/0002-24,15/12/2014,-
SEPIN,MIN.DA CIENCIA E TECNOLOGIA-SEC.DE POLIT. INFORM.E AUTOMACAO,01.263.896/0001-64,25/11/1996,-
SPC-MA,MA - SECRETARIA DE PRODUCAO E COMERCIALIZACAO,00.396.895/0069-13,16/12/2014,-
SUFRAMA,SUFRAMA - SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS,04.407.029/0001-43,16/12/2014,-
