12/01/2018 04:13,,,
Código,Descrição,Início de Vigência,Fim de Vigência
ALADI,ASSOCIACAO LATINO-AMERICANA DE INTEGRACAO,25/11/1996,-
BCB,BANCO CENTRAL DO BRASIL,25/11/1996,-
CAMEX,CâMARA DE COMERCIO EXTERIOR,08/03/2001,-
CBN,COMITE BRASILEIRO DE NOMENCLATURA,25/11/1996,-
CDI,CONSELHO DE DESENVOLVIMENTO INDUSTRIAL,25/11/1996,-
COANA,COORDENACAO GERAL DO SISTEMA DE CONTROLE ADUANEIRO,25/11/1996,-
COEST,COORDENACAO DE ESTATISTICAS ECONOMICO-TRIBUTARIAS,25/11/1996,-
COFIS,COORDENACAO GERAL DO SISTEMA DE FISCALIZACAO,25/11/1996,-
COGET,COORDENACAO GERAL DE ESTUDOS ECONOMICO-TRIBUTARIOS,25/11/1996,-
CONAMA,CONSELHO NACIONAL DO MEIO AMBIENTE,25/11/1996,-
CONCEX,CONSELHO DE COMERCIO EXTERIOR,25/11/1996,-
COSIT,COORDENACAO GERAL DO SISTEMA DE TRIBUTACAO,25/11/1996,-
COTEC,COORDENACAO GERAL DE TECNOLOGIA E DE SISTEMAS,25/11/1996,-
DECAM,DEPARTAMENTO DE CAMBIO,25/11/1996,-
DECEX,DEPARTAMENTO DE COMERCIO EXTERIOR,29/04/1996,-
DIMED,DIVISAO DE MEDICAMENTOS,25/11/1996,-
DIPOA,DIVISAO DE PRODUTOS AGROPECUARIOS,25/11/1996,-
DMM,DEPARTAMENTO DE MARINHA MERCANTE,25/11/1996,-
EXEC,PODER EXECUTIVO,12/12/1996,-
FIRCE,DEPARTAMENTO DE CAPITAIS ESTRANGEIROS,25/11/1996,-
IBAMA,INSTITUTO BRAS. DO MEIO AMB. E RECURSOS NATURAIS RENOVAVEIS,25/11/1996,-
INTERM,INTERMINISTERIAL (VARIOS MINISTERIOS),25/11/1996,-
LEGIS,PODER LEGISLATIVO,06/01/2000,-
MAARA,"MINISTERIO DA AGRICULTURA, DO ABASTEC. E DA REFORMA AGRARIA",25/11/1996,-
MC,MINISTERIO DA CULTURA,25/11/1996,-
MCT,MINISTERIO DE CIENCIA E TECNOLOGIA,25/11/1996,-
MDIC,"MINISTERIO DO DESENVOLVIMENTO, INDUSTRIA E COMERCIO",26/07/1999,-
ME,MINISTERIO DO EXERCITO,25/11/1996,-
MED,MINISTERIO DA EDUCACAO E DO DESPORTO,25/11/1996,-
MEFP,"MINISTERIO DA ECONOMIA, FAZENDA E PLANEJAMENTO",11/12/1996,-
MF,MINISTERIO DA FAZENDA,29/04/1996,-
MICT,"MINISTERIO DA INDUSTRIA, DO COMERCIO E DO TRANSPORTE",25/11/1996,-
MMA,MINISTERIO DO MEIO AMBIENTE E DOS RECURSOS HIDRICOS,25/11/1996,-
MME,MINISTERIO DE MINAS E ENERGIA,25/11/1996,-
MPO,MINISTERIO DO PLANEJAMENTO E ORCAMENTO,25/11/1996,-
MS,MINISTERIO DA SAUDE,25/11/1996,-
MT,MINISTERIO DO TRABALHO,25/11/1996,-
ONU,ORGANIZACAO DAS NACOES UNIDAS,25/11/1996,-
SDA,SECRETARIA DE DEFESA AGROPECUARIA,25/11/1996,-
SECEX,SECRETARIA DO COMERCIO EXTERIOR,29/04/1996,-
SNE,SECRETARIA NACIONAL DE ECONOMIA,25/11/1996,-
SRF,SECRETARIA DA RECEITA FEDERAL,29/04/1996,-
SUFR,SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS,25/11/1996,-
SVS,SECRETARIA DE VIGILANCIA SANITARIA,12/12/1996,-
TSNVEB,TESTE NVE 2,19/08/2014,-
