12/01/2018 04:13,,,,,
Órgão,Recinto,Setor,Descrição,Início de Vigência,Fim de Vigência
0117600,1911101,001,TECA / IMPORTAçÃO,28/08/2006,-
0117600,1911101,555,TECA / DSI,04/03/2004,-
0117600,1913201,001,IMPORTAçãO,23/07/2004,-
0117600,1913201,555,DSI,23/07/2004,-
0117600,1913401,001,BASE ALFANDEGADA DO MAER.,04/08/2015,-
0117600,1915301,001,IMPORTAçãO ENERGIA ELETRICA,23/08/2006,-
0117600,1917702,001,DEPOSITO LOJA FRANCA TECA,02/01/2015,-
0120100,1201201,001,TECA,01/10/1996,-
0120100,1201201,010,TECA,30/09/1996,-
0120100,1201201,555,MODULO DSI/DSE,09/11/1999,-
0120100,1202001,002,COLIS POSTAUX,30/09/1996,-
0120100,1202001,555,DSI/DSE,22/11/1999,-
0120200,1303201,001,EADI,28/09/1999,-
0120200,1303201,555,EADI - SIMPLIFICADO,17/11/2014,-
0120200,1303401,001,BASE AEREA DE ANAPOLIS,02/02/2000,-
0120200,1303401,555,BASE AEREA - SIMPLIFICADO,25/06/2007,-
0120200,2222222,001,EADI,18/07/2013,-
0130100,1401101,001,AEROPORTO,21/10/2010,-
0130100,1401101,555,AEROPORTO/DSI/DSE,21/10/2010,-
0130100,1402001,001,ENCOMENDAS POSTAIS,19/11/1999,-
0130100,1402001,555,DSI/DSE,19/11/1999,-
0130100,1403201,001,DESEMBARAçO DE MERCADORIA,28/11/2003,-
0130100,1403201,555,DESPACHO SIMPLIFICADO,24/04/2003,-
0130151,1951902,001,FRONTEIRA,22/08/2017,-
0130151,1951902,555,DSI,16/10/2017,-
0140100,1501101,001,TECA,04/12/2006,-
0140100,1501101,555,DSI/DSE,18/11/1999,-
0140100,1502001,001,COLIS,31/07/2017,-
0140100,1502001,555,DSI/DSE,18/11/1999,-
0140151,1511901,000,BELA VISTA,02/10/1996,-
0140151,1511901,001,ALFANDEGA,20/04/2000,-
0140151,1511901,555,DSI/DSE,25/11/1999,-
0140152,1521901,001,INSPETORIA,20/01/2000,-
0140152,1521901,555,DSI/DSE,20/01/2000,-
0140251,1961901,000,BELA VISTA,26/05/2002,-
0140251,1961901,001,ALFANDEGA,26/05/2002,-
0140251,1961901,555,DSI/DSE,26/05/2002,-
0140252,1531901,001,INSPETORIA,26/05/2002,-
0140252,1531901,555,DSI/DSE,26/05/2002,-
0145100,1921901,001,POSTO LEAO DA FRONTEIRA,01/10/1996,-
0145100,1921901,555,PLF-DSI,07/01/2000,-
0145200,1931601,001,GRANEL QUIMICA,18/06/1998,-
0145200,1931601,555,DSI,24/04/2000,-
0145200,1931602,001,PORTO SOBRAMIL,15/10/2001,-
0145200,1931603,001,TERM.PORT.FLUV.PRIV.CIM.ITAÚ,08/05/2002,-
0145200,1931603,555,CIMENTO ITAÚ - DSI,20/12/2002,-
0145200,1931901,001,POSTO ESDRAS,12/09/2013,-
0145200,1931901,014,IRF CORUMBA - POSTO ESDRAS,11/03/2008,-
0145200,1931901,555,DSI,20/07/2000,-
0145200,1933101,001,E.A.F.-AGESA,31/01/2013,-
0145200,1933101,555,DSI,17/11/1999,-
0145200,1933501,001,BASE NAVAL DE LADARIO MMMAR,10/08/2000,-
0145300,1941101,001,AEROPORTO PPO - IMPORTACAO,03/06/1998,-
0145300,1941901,002,PATIO IMPORTAçAO,30/12/1996,-
0145300,1941901,555,DSI,25/11/1999,-
0145351,1961901,001,INSPETORIA,20/07/2007,-
0145351,1961901,555,DSI/DSE,20/07/2007,-
0145352,1531601,001,INSTALAçãO PORTUáRIA,27/07/2007,-
0145352,1531601,555,DSI/DSE - INST. PORTUáRIA,27/07/2007,-
0145352,1531901,002,PONTO DE FRONTEIRA,12/06/2007,-
0145352,1531901,555,PONTO DE FRONTERIRA,12/06/2007,-
0147600,1931601,001,GRANEL QUIMICA,01/01/2018,-
0147600,1931601,555,DSI,01/01/2018,-
0147600,1931602,001,PORTO SOBRAMIL,01/01/2018,-
0147600,1931603,001,TERM.PORT.FLUV.PRIV.CIM.ITAÚ,01/01/2018,-
0147600,1931603,555,CIMENTO ITAÚ - DSI,01/01/2018,-
0147600,1931901,001,POSTO ESDRAS,01/01/2018,-
0147600,1931901,014,IRF CORUMBA - POSTO ESDRAS,01/01/2018,-
0147600,1931901,555,DSI,01/01/2018,-
0147600,1933101,001,E.A.F.-AGESA,01/01/2018,-
0147600,1933101,555,DSI,01/01/2018,-
0147600,1933501,001,BASE NAVAL DE LADARIO MMMAR,01/01/2018,-
0147700,1921901,001,POSTO LEAO DA FRONTEIRA,01/01/2018,-
0147700,1921901,555,PLF-DSI,01/01/2018,-
0147800,1941101,001,AEROPORTO PPO - IMPORTACAO,01/01/2018,-
0147800,1941901,002,PATIO IMPORTAçAO,01/01/2018,-
0147800,1941901,555,DSI,01/01/2018,-
0147851,1961901,001,INSPETORIA,01/01/2018,-
0147851,1961901,555,DSI/DSE,01/01/2018,-
0147852,1531601,001,INSTALAçãO PORTUáRIA,01/01/2018,-
0147852,1531601,555,DSI/DSE - INST. PORTUáRIA,01/01/2018,-
0147852,1531901,002,PONTO DE FRONTEIRA,01/01/2018,-
0147852,1531901,555,PONTO DE FRONTERIRA,01/01/2018,-
0150100,1609801,999,NACIONALIZAÇÃO ADM TEMPORÁRIA,04/08/2010,-
0210151,2711501,001,PORTO DESPACHO CONSUMO,03/08/2004,-
0210200,2101501,001,DOCAS DO PARA- PORTO PUBLICO,15/12/2004,-
0210200,2101501,555,DESEMBARACO DE DSI-ELETRONICA,20/03/2000,-
0210200,2101601,001,PORTO FLUV.ALFANDEGADO PRIVATI,14/04/2003,-
0210200,2101601,555,DSI ELETRONICA,12/05/2003,-
0210200,2107101,001,DEA-DEPOSITO ESPEC.ALFANDEGADO,15/05/1998,-
0210300,2157101,001,DEA VALE DO RIO DOCE,16/08/2000,-
0210300,2159801,055,NUANA DRF MARABA,15/05/2012,-
0215200,2921601,001,PORTO CADAM,09/12/1999,-
0215200,2921602,555,DSI-DSE,26/01/2000,-
0217600,2911501,002,IMPORTACAO,05/08/1998,-
0217600,2911501,555,DSI-DSE,01/12/1999,-
0217600,2911601,001,PORTEL DA AMAZONIA,27/11/1998,-
0217600,2912001,555,DSI - DSE,01/11/2000,-
0217600,2912201,001,OCRIM,24/02/2006,-
0217600,2913201,001,PORTO SECO BELEM,10/10/2003,-
0217600,2913201,555,PORTO SECO METROBEL,09/07/2004,-
0217601,2801101,001,IRF AERO. BELéM,19/05/2001,-
0217601,2801101,002,EXAME DOCUMENTAL EOU/VER.FíSIC,13/08/1998,-
0217601,2801101,555,DSI-DSE,17/11/1999,-
0217602,2222222,001,EXPORTACAO FICTA,10/09/2015,-
0217602,2711502,001,PORTO DESPACHO PARA CONSUMO,06/05/1998,-
0217602,2711502,002,ARMAZEM DE EXPORTACAO,30/09/2016,-
0217602,2711502,003,ARMAZEM DE IMPORTACAO,30/09/2016,-
0217602,2711502,004,PATIO DE CONTEINER,30/09/2016,-
0217602,2711502,005,AREA DESCOBERTA,30/09/2016,-
0217602,2711502,006,PIER DE ATRACACAO DE BALSAS,30/09/2016,-
0217602,2711502,555,DSI/DSE,30/09/2016,-
0217602,2711603,001,TERM. PONTA DA MONTANHA-ADM,30/09/2016,-
0217602,2711604,001,TERMINAL PORTUARIO RCC,30/09/2016,-
0217602,2711605,001,CONVICON,03/05/2007,-
0217602,2711605,555,DSE-DSI,18/02/2008,-
0217602,2711606,001,RIO TURIA SERV.LOGISTICOS LTDA,22/04/2014,-
0217602,2711607,001,TERMINAL HIDROVIAS DO BRASIL,09/08/2016,-
0217700,2971101,001,IRF AERO. BELéM,26/05/2002,-
0217700,2971101,555,DSI-DSE,26/05/2002,-
0217700,2977701,001,DEPOSITO LOJA FRANCA ALDEASA,15/01/2014,-
0217800,2911501,002,IMPORTACAO,01/01/2018,-
0217800,2911501,555,DSI-DSE,01/01/2018,-
0217800,2911601,001,PORTEL DA AMAZONIA,01/01/2018,-
0217800,2912001,555,DSI - DSE,01/01/2018,-
0217800,2912201,001,OCRIM,01/01/2018,-
0217800,2913201,001,PORTO SECO BELEM,01/01/2018,-
0217800,2913201,555,PORTO SECO METROBEL,01/01/2018,-
0217801,2971101,001,IRF AERO. BELéM,01/01/2018,-
0217801,2971101,555,DSI-DSE,01/01/2018,-
0217801,2977701,001,DEPOSITO LOJA FRANCA ALDEASA,01/01/2018,-
0220108,2222222,001,IMP,01/06/2015,-
0227600,2222222,001,ENTRADA/SAIDA FICTA,27/11/2014,-
0227600,2931503,001,INTERNACAO DI/PI - DI/PE,09/09/2002,-
0227600,2931503,555,INTERNACAO DSI,09/09/2002,-
0227600,2931504,001,IMPORTACAO E EXPORTACAO,03/09/2002,-
0227600,2931504,002,NACIONALIZACAO ADMISSAO TEMP.,09/09/2002,-
0227600,2931504,555,DSI/DSE,09/09/2002,-
0227600,2931601,039,SUPERTERMINAIS-DI,12/01/2000,-
0227600,2931601,555,SUPERTERMINAIS-DSI/DSE,30/09/2002,-
0227600,2931602,001,CIMENTO VENCEMOS,22/01/1999,-
0227600,2931603,001,HERMASA,24/07/2003,-
0227600,2931604,001,INST PORT FLUV PRIV PETROBRAS,05/08/2002,-
0227600,2931605,001,INSTALACAO PORTO CHIBATAO,20/05/2003,-
0227600,2931605,555,PORTO CHIBATAO DSI/DSE,20/05/2003,-
0227600,2931606,001,TRIGO A GRANEL,16/11/2010,-
0227600,2931607,001,IMPORTACAO/EXPORTACAO,18/08/2016,-
0227600,2932001,001,COLIS POSTAUX,26/01/2000,-
0227600,2932001,002,COLIS POSTAUX IMPORTACAO,03/09/2002,-
0227600,2932001,555,DSI>DSE,08/05/2000,-
0227600,2933201,001,EADI - AURORA TERMINAIS,01/02/2000,-
0227600,2933201,555,DSI/DSE,23/08/2000,-
0227600,2934701,038,EIZOF,04/01/1997,-
0227603,2211501,001,PORTO FLUV. TABATINGA USO PUB.,19/06/2007,-
0227603,2211501,555,DSI,18/07/2008,-
0227603,2951101,001,TABATINGA - DESPACHOS,13/06/2011,-
0227603,2951101,555,TABATINGA-DESPACHO DSI,05/05/2010,-
0227603,2951101,666,AER. INTL. DE TABATINGA,29/04/2010,-
0227700,2941101,001,GABINETE,06/12/2012,-
0227700,2941101,002,EQDEM,22/05/2013,-
0227700,2941101,005,EQDEX,22/05/2013,-
0227700,2941101,008,SADAD,15/06/2004,-
0227700,2941101,009,SAVIG,10/03/2008,-
0227700,2941101,010,EQDEP - EQUIPE GERENCIA RISCO,23/11/2016,-
0227700,2941101,555,EQDIM-DESEMBARACO DSI,09/09/2009,-
0227700,2943401,001,BASE AEREA PONTA PELADA,26/10/2005,-
0230100,2301101,001,IMPORTAçãO,15/11/1999,-
0230100,2301101,555,DSI,29/03/2000,-
0230151,2311901,001,PONTO DE FRONTEIRA,19/03/1997,-
0230151,2311901,555,DSI,26/11/1999,-
0230152,2321101,001,TERMINAL AEREO,26/05/1997,-
0230152,2321101,002,RECINTO ALF. AEREO,26/05/1997,-
0230152,2321101,555,D.S.I.,13/03/2000,-
0230154,2981901,001,PONTO DE FRONTEIRA ALFANDEGADO,05/09/2007,-
0230154,2981901,555,DSI,05/09/2007,-
0230155,2311901,001,PONTO DE FRONTEIRA,01/01/2018,-
0230155,2311901,555,DSI,01/01/2018,-
0240100,2401101,001,SAANA/AEROP./DRF MACAPA,16/08/2004,-
0240100,2401101,555,DSI E DSE,23/07/2004,-
0240100,2401502,001,PORTO DE MACAPÁ,10/06/2003,-
0240100,2401502,555,DSI E DSE,10/06/2003,-
0240152,2201601,001,CADAM S.A.,17/10/2012,-
0240152,2201602,001,JARI CELULOSE,05/12/2012,-
0240152,2401502,001,PORTO ORGANIZADO SANTANA,27/12/2012,-
0240152,2401502,555,DSI E DSE - PORTO DE SANTANA,27/12/2012,-
0240152,2401602,001,PORT ALF ANGLO FERROUS,28/12/2012,-
0250100,2501501,001,PORTO FLUVIAL ALFANDEG PUBLICO,05/04/2010,-
0250100,2501501,555,PORTO ALFANDEGADO,17/04/2000,-
0250100,2501601,001,IMPORTAÇÃO E EXPORTAÇÃO,28/07/2010,-
0250100,2501601,555,DSI/DSE,28/07/2010,-
0250100,2509801,001,NACIONAL ADMTEMP NOTICIA82/06,25/01/2017,-
0250151,2961901,001,PONTO DE FRONTEIRA ALFANDEGADO,26/05/2002,-
0250151,2961901,555,DSI/DSE PONTO DE FRONTEIRA,26/05/2002,-
0250151,2963101,001,EAF - SUFRAMA,26/05/2002,-
0250151,2963101,555,DSI/DSE - SUFRAMA,26/05/2002,-
0260100,2601101,001,AEROPORTO/BVA,09/01/1997,-
0260100,2601101,555,DESEMBARA;O DSI/DSE,25/02/2000,-
0260151,2611901,001,PACARAIMA-RR PTO DE FRONTEIRA,23/10/1996,-
0260151,2611901,555,DESEMBARACO DSI/DSE,17/11/1999,-
0260152,2621901,001,BONFIM-RR PONTO DE FRONTEIRA,06/05/2009,-
0260152,2621901,555,DESEMBARAçA DSI/DSE,06/05/2009,-
0317600,2222222,001,EXPORTAÇÃO FICTA,03/12/2012,-
0317600,3911201,001,TECA-AEROPORTO,26/12/1996,-
0317600,3911301,001,DOCAS-FORTALEZA,16/12/1999,-
0317600,3911301,555,DESEMBARAÇO DE DSI,10/02/2010,-
0317600,3911401,001,IMPORTAçãO,11/03/2004,-
0317600,3911401,555,DSI,03/12/2001,-
0317600,3912001,001,COLIS POSTAUX,26/12/1996,-
0317601,3111101,001,TERMINAL DE CARGAS,31/10/2001,-
0317601,3111101,555,TERMINAL DE CARGA-DSI,10/09/2001,-
0317601,3601101,001,TECA,02/03/2001,-
0317601,3601101,555,TECA-DSI,10/11/1999,-
0317602,3111401,002,IMPORTACAO/EXPORTACAO,23/10/2003,-
0317602,3111401,555,D S I,10/06/2003,-
0317700,3921101,001,TECA,26/05/2002,-
0317700,3921101,555,TECA-DSI,26/05/2002,-
0317700,3927201,001,DAF-TAP,16/04/2003,-
0317700,3927701,001,DELOF - BRASILD DUTY FRE - AER,16/04/2009,-
0317800,2222222,002,EXPORTAÇÃO FÍCTA,10/06/2016,-
0317800,3111401,002,IMPORTACAO/EXPORTACAO,20/02/2011,-
0317800,3111401,555,D S I,20/02/2011,-
0317800,3118101,001,ZPE PECEM - CSP,09/04/2013,-
0317800,3118101,002,IMPORTAÇÃO/EXPORTAÇÃO,01/06/2016,-
0317900,2222222,001,EXPORTAÇÃO FICTA,01/01/2018,-
0317900,3911201,001,TECA-AEROPORTO,01/01/2018,-
0317900,3911301,001,DOCAS-FORTALEZA,01/01/2018,-
0317900,3911301,555,DESEMBARAÇO DE DSI,01/01/2018,-
0317900,3911401,001,IMPORTAçãO,01/01/2018,-
0317900,3911401,555,DSI,01/01/2018,-
0317900,3912001,001,COLIS POSTAUX,01/01/2018,-
0317901,3921101,001,TECA,02/01/2018,-
0317901,3921101,555,TECA-DSI,01/01/2018,-
0317901,3927201,001,DAF-TAP,01/01/2018,-
0317901,3927701,001,DELOF - BRASILD DUTY FRE - AER,01/01/2018,-
0317902,2222222,002,EXPORTAÇÃO FÍCTA,01/01/2018,-
0317902,3111401,002,IMPORTACAO/EXPORTACAO,01/01/2018,-
0317902,3111401,555,D S I,01/01/2018,-
0317902,3118101,001,ZPE PECEM - CSP,01/01/2018,-
0317902,3118101,002,IMPORTAÇÃO/EXPORTAÇÃO,01/01/2018,-
0320151,2222222,001,BUCYRUS BRASIL LTDA,01/01/2018,-
0320151,2222222,002,EXIMPORT LTDA,01/01/2018,-
0320151,2222222,003,HENFEL IND. METALURGICA LTDA,01/01/2018,-
0320151,2222222,004,WDS - WOODBROOK DRIVE SYSTEMS,01/01/2018,-
0320151,2222222,005,SGI POWER TRANSMISSION DO BRAS,01/01/2018,-
0320151,2222222,006,VESCON EQUIP. INDUSTRIAIS LTDA,01/01/2018,-
0320151,3931101,001,TECA SãO LUIS,01/01/2018,-
0320151,3931101,555,TECA / DSE/DSI,01/01/2018,-
0320151,3931101,999,TERMINAL PASSAGEIROS,01/01/2018,-
0320151,3931201,555,TECA/DSI/DSE,01/01/2018,-
0320151,3931301,001,PORTO DO ITAQUI,01/01/2018,-
0320151,3931301,555,EMAP/DSE/DSI,01/01/2018,-
0320151,3931401,001,PORTO DA ALUMAR,01/01/2018,-
0320151,3931402,001,CVRD,01/01/2018,-
0320151,3931403,001,PIER 3 PONTA DA MADEIRA,01/01/2018,-
0320151,3932201,001,GRANEL QUIMICA LTDA,01/01/2018,-
0320151,3932202,001,TRANSPETRO,01/01/2018,-
0320151,3932203,001,ARMAZEM CONAB,01/01/2018,-
0325100,3601201,001,TECA SAO LUIS,27/02/2002,-
0325100,3601201,555,TECA/DSI/DSE,27/02/2002,-
0325100,3601301,001,PORTO DO ITAQUI,21/02/2001,-
0325100,3601301,555,EMAP/DSE/DSI,06/03/2001,-
0325100,3601401,001,PORTO DA ALUMAR,09/04/1999,-
0325100,3601402,001,CVRD,07/05/1998,-
0325100,3602001,001,COLIS POSTEAUX,07/05/1998,-
0325100,3602001,555,COLIS POSTAUX/DSI/DSE,05/11/1999,-
0325100,3602201,001,GRANEL QUIMICA LTDA,23/04/2002,-
0327600,2222222,001,BUCYRUS BRASIL LTDA,12/04/2011,-
0327600,2222222,002,EXIMPORT LTDA,12/04/2011,-
0327600,2222222,003,HENFEL IND. METALURGICA LTDA,29/01/2015,-
0327600,2222222,004,WDS - WOODBROOK DRIVE SYSTEMS,20/01/2012,-
0327600,2222222,005,SGI POWER TRANSMISSION DO BRAS,01/04/2015,-
0327600,2222222,006,VESCON EQUIP. INDUSTRIAIS LTDA,04/04/2012,-
0327600,3931101,001,TECA SãO LUIS,11/09/2008,-
0327600,3931101,555,TECA / DSE/DSI,07/12/2004,-
0327600,3931101,999,TERMINAL PASSAGEIROS,07/12/2004,-
0327600,3931201,555,TECA/DSI/DSE,26/05/2002,-
0327600,3931301,001,PORTO DO ITAQUI,26/05/2002,-
0327600,3931301,555,EMAP/DSE/DSI,26/05/2002,-
0327600,3931401,001,PORTO DA ALUMAR,26/05/2002,-
0327600,3931402,001,CVRD,14/02/2005,-
0327600,3931403,001,PIER 3 PONTA DA MADEIRA,20/07/2004,-
0327600,3932201,001,GRANEL QUIMICA LTDA,26/05/2002,-
0327600,3932202,001,TRANSPETRO,08/01/2003,-
0327600,3932203,001,ARMAZEM CONAB,28/02/2005,-
0330100,3301201,001,TECA,02/09/2008,-
0330100,3301201,555,DSI,18/11/1999,-
0330100,3302001,001,COLLIS POSTAUX,20/11/1996,-
0330100,3302001,555,DSI,30/11/1999,-
0410251,4151101,001,AEROPORTO DE PETROLINA,22/04/2009,-
0410300,4151101,001,AEROPORTO DE PETROLINA,06/04/2005,-
0415100,4911301,001,UNICO A PARTIR DE 30-09-1996,14/08/2005,-
