12/01/2018 04:13,,,
Código,Descrição,Início de Vigência,Fim de Vigência
155201,"DRF-PASSO FUNDO (NAC. RECOF,AD TEMP,DEP ESP)",26/01/2009,-
201701,PORTO DE PELOTAS - PORTO LACUSTRE ALFANDEGADO - PELOTAS/RS - DEPARTAMENTO ,12/01/2017,-
259801,DRF-SANTA MARIA (NAC.ADM. TEMP. NOTICIA 82/06),21/11/2011,-
301301,PORTO DE RIO GRANDE - SUPERINT.DO PTO DE R.GDE -RIO GRANDE/RSPORTO MARITIMO ,12/01/2017,-
301302,TERMINAL GRANELEIRO S/A - TERGRASA,12/01/2017,-
301304,INST.PORT.MAR.ALF.USO PUBLICO-TECON RIO GRANDE-RIO GRANDE/RS,12/01/2017,-
301401,INST.PORT.MARIT.PRIV. - ADUBOS TREVO S/A - RIO GRANDE/RS,12/01/2017,-
301402,INSTALACAO PORT.MAR.DE USO PRIVATIVO - TERMASA-TERM.MAR.LUIZ,12/01/2017,-
301403,INST.PORT.MAR.ALF-USO PRIV.BIANCHINI S/A-PT.DE RIO GRANDE/RS,12/01/2017,-
301404,INST.PORT.MAR.ALF.USO PRIV.EXCL.BUNGE AL.S/A RIO GRANDE,12/01/2017,-
303501,BASE ALFANDEGADA DO MMAR.-ESTAÖÀO NAVAL DE RIO GRANDE,26/01/2009,-
353201,EADI - PORTO SECO TRANSPORTES LTDA,12/01/2017,-
403201,EADI-MULTI ARMAZENS LTDA-NOVO HAMBURGO/RS,12/01/2017,-
451901,SANTANA DO LIVRAMENTO/RS-PONTO DE FRONTEIRA (BRASIL/URUGUAI),01/01/2018,-
453101,EAF - BANRISUL ARMAZENS GERAIS SA - SANTANA DO LIVRAMENTO/RS,01/01/2018,-
453201,PORTO SECO-PONTO DE FRONT.EADI SUL TERM.CARGA-ST.LIVRAMENTO/,01/01/2018,-
453301,EST.FER.ALF.-ALL-AMERICA LATINA LOGISTICA S/A-SANTANA DO LI- VRAMENTO-RS.,01/01/2018,-
471901,QUARAI/RS - PONTO DE FRONTEIRA (BRASIL/URUGUAI),01/01/2018,-
511901,PORTO MAUá/RS - PONTO DE FRONTEIRA,12/01/2017,-
555201,"DRF-SANTA CRUZ DO SUL (NAC. RECOF,AD TEMP,DEP ESP)",26/01/2009,-
601901,URUGUAIANA/RS - PONTO DE FRONTEIRA (BRASIL/ARGENTINA),01/01/2018,-
603201,PORTO SECO/ELOG LOGÍSTICA SUL LTDA,01/01/2018,-
603301,EST.FER.ALF. - ALL-AMERICA LATINA LOGISTICA S/A - SANTO INA- CIO-URUGUAIANA/RS,01/01/2018,-
611901,BARRA DO QUARAI/RS PONTO DE FRONTEIRA (BRASIL/URUGUAI),01/01/2018,-
621501,PORTO DE ITAQUI - PORTO FLUVIAL ALFANDEGADO - ITAQUI/RS,01/01/2018,-
651901,CHUI/RS - PONTO DE FRONTEIRA (BRASIL/URUGUAI),01/01/2018,-
911101,AEROPORTO INTERNAC. SALGADO FILHO-INFRAERO-PORTO ALEGRE/RS,01/01/2018,-
916101,LOJA FRANCA - BRASIF DUTY FREE SHOP.LTDA - PORTO ALEGRE/RS - LOJA 1 - S. DE ,01/01/2018,-
916102,LOJA FRANCA - BRASIF DUTY FREE SHOP LTDA - PORTO ALEGRE/RS LOJA 2 - S. DE ,01/01/2018,-
916103,DFA BRASIL COMÉRCIO E DISTRIBUIÇÃO LTDA.,01/01/2018,-
916104,DFA BRASIL COMÉRCIO E DISTRIBUIÇÃO LTDA. - LJ. EMBARQUE,01/01/2018,-
917201,DEPOSITO AFIANCADO - VARIG S/A - PORTO ALEGRE/RS - AEROPORTO INTERNACIONAL ,01/01/2018,-
917202,DAF - TAP PORTUGAL,01/01/2018,-
917203,DAF - TAM LINHAS AEREAS S/A,01/01/2018,-
917204,DAF - AMERICAN AIRLINES INC-AER.INTER.SALG.FILHO-RS,01/01/2018,-
917205,COMPANIA PANAMEÑA DE AVIACION S.A,01/01/2018,-
917701,DEP. LJ FRANCA - BRASIF DUTY FREE SHOP LTDA-PORTO ALEGRE/RS -AEROPORTO ,01/01/2018,-
921301,PETROBRáS TRANSPORTE S/A - TRANSPETRO,12/01/2017,-
921302,PETRóLEO BRASILEIRO S/A - PETROBRáS,12/01/2017,-
922201,GRANEL QUÍMICA LTDA,12/01/2017,-
923201,TRANSCONTINENTAL LOGÍSTICA_S.A,12/01/2017,-
923801,BRASKEM S/A,07/12/2017,-
931301,INST. PORTUARIA MAR. PETROBRAS TRANSP.S/A-IMBE-RS,01/01/2018,-
931501,PORTO DE PORTO ALEGRE - PORTO FLUVIAL ALFAND.-PORTO ALEGRE/RSDEPARTAMENTO ,01/01/2018,-
931502,TERMINAL DE SANTA CLARA - BRASKEM - TRIUNFO/RS,01/01/2018,-
933201,EADI-BANRISUL ARM.GER.AV.GET.VARGAS 8201 - CANOAS/RS,01/01/2018,-
933401,BASE ALFANDEGADA DO MAER.-BASE AEREA DE CANOAS/BACO,01/01/2018,-
935301,PETRóLEO BRASILEIRO S.A. - PETROBRAS,01/01/2018,-
941101,AEROPORTO INTERNACIONAL COMANDANTE GUSTAVO KRAEMER,12/01/2017,-
941901,ACEGUA - PONTO DE FRONTEIRA (BRASIL/URUGUAI) - BAGE/RS,24/10/2017,-
951901,PORTO XAVIER/RS - PONTO DE FRONTEIRA (BRASIL/ARGENTINA),24/10/2017,-
963701,CENTRO UNIF.DE FRONTEIRA SãO BORJA/SANTO TOMé - MERCOVIA S/A,01/01/2018,-
971901,JAGUARAO - PONTO DE FRONTEIRA (BRASIL/URUGUAI) JAGUARAO/RS,24/10/2017,-
973101,EAF - BANRISUL ARMAZENS GERAIS SA - JAGUARAO/RS,26/01/2009,-
973201,PORTO SECO-PONTO DE FRONT.EADI SUL TERM.DE CARGAS-JAGUARAO/R,12/01/2017,-
1201201,TECA-AEROPORTO SANTA GENOVEVA-GOIANIA,10/01/2017,-
1303201,PORTO SECO CENTRO OESTE - DAIA/ANAPOLIS/GO,10/01/2017,-
1303401,BASE MILITAR ALFANDEGADA DO M.AER.-BASE AEREA DE ANAPOLIS/GO,26/01/2009,-
1401101,AER.INTERN.MARECHAL RONDON-VARZEA GRANDE-MT,10/01/2017,-
1403201,PORTO SECO DE CUIABA-MT/TRANSMINO TRANSP.LTDA,10/01/2017,-
1501101,AEROPORTO INTERNACIONAL DE CAMPO GRANDE - INFRAERO AEROPORTO INTERNACIONAL ,10/01/2017,-
1531601,INSTALACAO PORTUARIA FLUVIAL DE USO PRIVATIVO MISTO,01/01/2018,-
1531901,PORTO MURTINHO (BRASIL-PARAGUAI) PONTO DE FRONTEIRA ALFANDEGADO - PORTO ,01/01/2018,-
1609801,DRF/PALMAS - NACIONALIZAÇÃO ADM.TEMP.(NOTICIA82/06),23/07/2010,-
1911101,AEROPORTO INTERNACIONAL JK - INFRAMÉRICA - AEROPORTO INTERNA CIONAL ,06/01/2017,-
1913201,"LOGSERVE-LOGISTICA, ARMAZENAGEM E SERVIçOS LTDA.",09/01/2017,-
1913401,BASE ALFANDEGADA DO MAER.-BASE A°REA DE BRASªLIA/BABR,10/01/2017,-
1915301,ENERGIA ELETRICA-POTENCIA - IN SRF 649 DE 2006,26/01/2009,-
1916103,LOJA FRANCA-DUFRY DO BRASIL DUTY FREE SHOP LTDA,05/01/2015,-
1916104,LOJA FRANCA-DUFRY DO BRASIL DUTY FREE SHOP LTDA,05/01/2015,-
1917201,DEPOSITO AFIANCADO - AMERICAN AIRLINES.INC,18/11/2010,-
1917202,DEPOSITO AFIANCADO - TAP AIR PORTUGUAL,17/11/2010,-
1917203,DEPOSITO AFIANCADO - DELTA AIR LINES INC.,18/11/2010,-
1917204,DEPOSITO AFIANCADO - TAM LINHAS AEREAS S/A,30/01/2013,-
1917205,DEPóSITO AFIANçADO - SOCIETÉ AIR FRANCE,22/07/2014,-
1917702,DEP. DE LOJA FRANCA-DUFRY DO BRASIL DUTY FREE SHOP LTDA,10/01/2017,-
1917703,LOJA FRANCA - DUFRY DO BRASIL DUTY FREE SHOP LTDA.,10/01/2017,-
1921901,MUNDO NOVO (BRASIL-PARAGUAI) PONTO DE FRONTEIRA ALFANDEGADO MUNDO NOVO/MS,01/01/2018,-
1931101,AEROPORTO INT.ALF.DE CORUMBA/MS - ADM.INFRAERO,01/01/2018,-
1931502,PORTO GREGORIO CURVO-PORTO FLUVIAL ALFAND-USO PUBLICO MINERACAO ,01/01/2018,-
1931601,INST.PORT.PRIV.FLUVIAL-GRANEL QUIMICA LTDA. - CORUMBA/MS,01/01/2018,-
1931901,POSTO ESDRAS (BRASIL-BOLIVIA) PONTO DE FRONTEIRA ALFANDEGADO ESTRADA RAMOS ,01/01/2018,-
