12/01/2018 04:13,,,,
Código,Nome,Detalhamento,Início de Vigência,Fim de Vigência
1,CONSUMO A BORDO,NORMAL - SITUAÇÕES ESPECIAIS,2014-09-01,-
2,COMB/LUB NAV GUER ESTR,NORMAL - SITUAÇÕES ESPECIAIS,2014-09-01,-
3,TRANSFORMAÇÃO EXPORTAÇÃO TEMPORÁRIA EM ,NORMAL - SITUAÇÕES ESPECIAIS,2014-09-01,-
4,ED PEDRAS E JÓIAS,NORMAL - SITUAÇÕES ESPECIAIS,2014-09-01,-
5,ED MERCADORIA EM MÃOS,NORMAL - SITUAÇÕES ESPECIAIS,2014-09-01,-
6,ED VEÍCULO M PRÓPRIO,NORMAL - SITUAÇÕES ESPECIAIS,2014-09-01,-
7,REMICEX,NORMAL - SITUAÇÕES ESPECIAIS,2014-09-01,-
8,EXPORTAÇÃO FICTA,NORMAL - SITUAÇÕES ESPECIAIS,2014-09-01,-
9,EXPORTAÇÃO FICTA REPETRO,NORMAL - SITUAÇÕES ESPECIAIS,2014-09-01,-
10,DAC - DEPÓSITO ALFANDEGADO CERTIFICADO,NORMAL - SITUAÇÕES ESPECIAIS,2014-09-01,-
31,LOJA FRANCA JOIAS E PEDRAS PRECIOSAS,NORMAL - SITUAÇÕES ESPECIAIS,2015-01-12,-
