12/01/2018 04:13,,,,
Código,Descrição,Início de Vigência,Fim de Vigência,Taxa de Conversão
005,AFEGANE/AFEGANIST,12/01/2018,14/01/2018,"0,0463800"
009,BIRR/ETIOPIA,12/01/2018,14/01/2018,"0,1193000"
015,BATH,12/01/2018,14/01/2018,"0,1011000"
020,BALBOA,12/01/2018,14/01/2018,"3,2467000"
025,BOLIVAR,03/01/2008,03/01/2008,"0,0008259"
026,BOLIVAR FORTE/VEN,12/01/2018,14/01/2018,"0,3255000"
030,BOLIVIANO/BOLIVIA,12/01/2018,14/01/2018,"0,4733000"
035,CEDI,12/01/2018,14/01/2018,"0,7151000"
040,COLON COSTARRIQUENHO,12/01/2018,14/01/2018,"0,0057460"
045,COLON SALVADORENHO,12/01/2018,14/01/2018,"0,3711000"
051,CORDOBA OURO,12/01/2018,14/01/2018,"0,1057000"
055,COROA DINAM/DINAM,12/01/2018,14/01/2018,"0,5226000"
057,COROA DA ESTONIA,18/01/2011,18/01/2011,"0,1437000"
058,COROA ESLOVACA,13/02/2009,15/02/2009,"0,0975880"
060,COROA ISLANDESA,12/01/2018,14/01/2018,"0,0311400"
065,COROA NORUE/NORUE,12/01/2018,14/01/2018,"0,4035000"
070,COROA SUECA/SUECI,12/01/2018,14/01/2018,"0,3969000"
075,COROA TCHECA,12/01/2018,14/01/2018,"0,1522000"
090,DALASI,12/01/2018,14/01/2018,"0,0680100"
095,DINAR ARGELINO,12/01/2018,14/01/2018,"0,0283700"
100,DINAR COVEITEANO,12/01/2018,14/01/2018,"10,7756000"
105,DINAR DE BAHREIN,12/01/2018,14/01/2018,"8,6165000"
115,DINAR/IRAQUE,12/01/2018,14/01/2018,"0,0027420"
125,DINAR JORDANIANO,12/01/2018,14/01/2018,"4,5780000"
130,DINAR LIBIO,12/01/2018,14/01/2018,"2,3991000"
132,DINAR/MACEDONIA,12/01/2018,14/01/2018,"0,0635100"
133,DINAR SERVIO/SERV,12/01/2018,14/01/2018,"0,0328200"
134,DINAR/SUDAO,12/01/2018,14/01/2018,"0,4639000"
135,DINAR TUNISIANO,12/01/2018,14/01/2018,"1,2995000"
136,LIBRA SUL SUDANESA,12/01/2018,14/01/2018,"0,0251200"
138,DIREITO ESPECIAL,12/01/2018,14/01/2018,"4,6311000"
139,DIRHAM DE MARROCOS,12/01/2018,14/01/2018,"0,3469000"
145,DIRHAM EMIR.ARABES,12/01/2018,14/01/2018,"0,8840000"
148,DOBRA/S.TOME PRIN,12/01/2018,14/01/2018,"0,0001590"
150,DOLAR AUSTRALIANO,12/01/2018,14/01/2018,"2,5470000"
155,DOLAR/BAHAMAS,12/01/2018,14/01/2018,"3,2467000"
160,DOLAR/BERMUDAS,12/01/2018,14/01/2018,"3,2467000"
165,DOLAR CANADENSE,12/01/2018,14/01/2018,"2,6013000"
170,DOLAR DA GUIANA,12/01/2018,14/01/2018,"0,0157600"
173,DÓLAR DA NAMÍBIA,12/01/2018,14/01/2018,"0,2612000"
175,DOLAR DE BARBADOS,12/01/2018,14/01/2018,"1,6249000"
180,DOLAR/BELIZE,12/01/2018,14/01/2018,"1,6234000"
185,DOLAR BRUNEI,12/01/2018,14/01/2018,"2,4344000"
190,DOLAR/CAYMAN,12/01/2018,14/01/2018,"3,9594000"
195,DOLAR DE CINGAPURA,12/01/2018,14/01/2018,"2,4353000"
197,UNIDADE DE FOMENTO DO CHILE,12/01/2018,14/01/2018,"142,6600000"
200,DOLAR/FIJI,12/01/2018,14/01/2018,"1,6162000"
205,DOLAR DE HONG-KONG,12/01/2018,14/01/2018,"0,4151000"
210,DOLAR DE TRINIDADE,12/01/2018,14/01/2018,"0,4897000"
