12/01/2018 04:13,,,,
Código,Descrição,Cód. Moeda,Início de Vigência,Fim de Vigência
1010,"""PRIME RATE"" DO CANADA",165,13/06/1989,-
1011,"""PRIME RATE"" DOS CANADIAN CHARTERED BANKS",165,13/06/1989,-
1040,"""PRIME RATE"" DE NEW YORK, REAJUSTAVEL ""PARI PASSU""",220,13/06/1989,-
1041,"""PRIME RATE"" DE NEW YORK, REAJUSTAVEL A 3 MESES",220,13/06/1989,-
1042,"""PRIME RATE"" DE NEW YORK, REAJUSTAVEL A 6 MESES",220,13/06/1989,-
1043,"""PRIME RATE"" DE NEW YORK, REAJUSTAVEL A 12 MESES",220,13/06/1989,-
1074,"""PRIME RATE"" DE BOSTON, REAJUSTAVEL ""PARI PASSU""",220,13/06/1989,-
1075,TAXA DE BASE BANCARIA(PRIME RATE) COTADA PELO BANCO PARIBAS,220,20/03/1990,-
1100,"""PRIME RATE"" DO MERCADO HOLANDES, REAJUSTAVEL ""PARI PASSU""",335,03/04/1996,-
1130,"""PRIME RATE"" DO MERCADO BELGA, REAJUSTAVEL ""PARI PASSU""",361,13/06/1989,-
1131,"""PRIME RATE"" DA BELGICA, REAJUSTAVEL ""PARI PASSU""",360,13/06/1989,-
1170,"""PRIME RATE"" DO MERCADO FRANCES, REAJUSTAVEL ""PARI PASSU""",335,13/06/1989,-
1200,"""PRIME RATE"" DO MERCADO SUI¦O, REAJUSTAVEL ""PARI PASSU""",425,13/06/1989,-
1230,"""PRIME RATE"" DO MERCADO JAPONES, REAJUSTAVEL ""PARI PASSU""",470,13/06/1989,-
1231,"""JAPANESE LONG-TERM PRIME LENDING RATE""",470,13/06/1989,-
1260,"""PRIME RATE"" DO MERCADO ITALIANO, REAJUSTAVEL ""PARI PASSU""",595,13/06/1989,-
1261,"""PRIME RATE"" DO MERCADO ITALIANO, REAJUSTAVEL A 3 MESES",595,13/06/1989,-
1290,"""PRIME RATE"" DO MERCADO ALEM`O OCIDENTAL, REAJUSTAVEL ""PARI PASSU""",610,13/06/1989,-
2240,LIBOR PARA DEPOSITOS EM DOLAR NEOZELANDEZ A 6 MESES,245,22/06/1993,-
2318,LIBOR-AUD-03 MESES,165,04/07/2003,-
2319,LIBOR-AUD-06 MESES,165,04/07/2003,-
2320,LIBOR PARA DEPOSITOS EM COROAS DINAMARQUESAS A 6 MESES,055,06/08/1997,-
2340,LIBOR-NKR-06 MESES,065,23/06/1997,-
2371,LIBOR-PTE-06 MESES,315,15/07/1999,-
2372,LIBOR-PTE-03 MESES,315,16/07/1999,-
2373,LIBOR-PTE MENSAL,315,16/07/1999,-
2375,LIBOR-EUR-3 MESES,978,11/05/1999,-
2376,LIBOR-EUR-6 MESES,978,11/05/1999,-
2377,LIBOR-EUR-12 MESES,978,11/05/1999,-
