12/01/2018 04:13,,,
Código,Descrição,Início de Vigência,Fim de Vigência
AD,ATO DECLARATORIO,29/04/1996,-
ADE,ATO DECLARATORIO EXECUTIVO,10/05/2001,-
ADN,ATO DECLARATORIO NORMATIVO,25/11/1996,-
CCIRC,CARTA-CIRCULAR,21/12/1996,-
CF,CONSTITUICAO FEDERAL,29/04/1996,-
CIRC,CIRCULAR,25/11/1996,-
COM,COMUNICADO,25/11/1996,-
D LEG,DECRETO LEGISLATIVO,25/11/1996,-
DEC,DECRETO,29/04/1996,-
DH,DESPACHO HOMOLOGATORIO,25/11/1996,-
DL,DECRETO-LEI,29/04/1996,-
IN,INSTRUCAO NORMATIVA,29/04/1996,-
LC,LEI COMPLEMENTAR,25/11/1996,-
LEI,LEI,29/04/1996,-
MP,MEDIDA PROVISORIA,25/11/1996,-
NE,NORMA DE EXECUCAO,25/11/1996,-
PN,PARECER NORMATIVO,25/11/1996,-
PORT,PORTARIA,29/04/1996,-
PR,PARECER DE RECURSO,25/11/1996,-
PROT,PROTOCOLO,25/11/1996,-
PS,PARECER SIMPLES,12/12/1996,-
RES,RESOLUCAO,25/11/1996,-
