12/01/2018 04:13,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01,CONSUMO,30/01/1997,-
02,ADMISSAO EM ENTREPOSTO ADUANEIRO,29/04/1996,-
03,ADMISSAO EM EIZOF - ENTREPOSTO INTERNACIONAL DA ZFM,19/11/1996,-
04,ADMISSAO EM ENTREPOSTO INDUSTRIAL,19/11/1996,-
05,ADMISSAO TEMPORARIA,30/04/1996,-
06,ADMISSAO NA ZFM - ZONA FRANCA DE MANAUS,19/11/1996,-
07,ADMISSAO EM LOJA FRANCA,19/11/1996,-
08,ADMISSAO EM ALC - AREA DE LIVRE COMERCIO,19/11/1996,-
09,ADMISSAO EM DAD - DEPOSITO ADUANEIRO DE DISTRIBUICAO,19/11/1996,-
10,ADMISSAO EM DE/DAF,26/03/2004,-
11,ADMISSAO EM ZPE - ZONA DE PROCESSAMENTO DE EXPORTACAO,19/11/1996,-
12,CONSUMO E ADMISSAO TEMPORARIA,30/04/1996,-
13,NACIONALIZACAO DE ADMISSAO TEMPORARIA,30/04/1996,-
14,NACIONALIZACAO DE ENTREPOSTO ADUANEIRO,30/04/1996,-
15,SAIDA DE EIZOF - ENTREPOSTO INTERNACIONAL DA ZFM,19/11/1996,-
16,SAIDA DE ENTREPOSTO INDUSTRIAL,19/11/1996,-
17,NACIONALIZACAO DE DEA - DEPOSITO ESPECIAL ALFANDEGADO,19/11/1996,-
18,NACIONALIZACAO DE REGIME ADUANEIRO - GERAL,03/05/2007,-
19,INTERNACAO DA ZFM - PI (PRODUTO INDUSTRIALIZADO),19/11/1996,-
20,INTERNACAO DA ZFM - PE (PRODUTO ESTRANGEIRO),19/11/1996,-
21,INTERNACAO DE ALC - AREA DE LIVRE COMERCIO,19/11/1996,-
22,INTERNACAO DA ZPE - ZONA DE PROCESSAMENTO DE EXPORTACAO,19/11/1996,-
23,TRANSFERENCIA DA ZFM (PRODUTO INDUSTRIAL.) PARA ALC,30/04/1996,-
24,TRANSFERENCIA DA ZFM (PRODUTO ESTRANGEIRO) PARA ALC,30/04/1996,-
25,TRANSFERENCIA DA ZFM (PRODUTO INDUSTRIAL.) PARA ZPE,30/04/1996,-
26,TRANSFERENCIA DA ZFM (PRODUTO ESTRANGEIRO) PARA ZPE,30/04/1996,-
27,TRANSFERENCIA DA ALC (PRODUTO ESTRANGEIRO) PARA ZFM,30/04/1996,-
28,NACIONALIZACAO DE DE - DEPOSITO ESPECIAL,24/03/2006,-
