12/01/2018 04:13,,,,
Código,Código Siscomex,Descrição,Início de Vigência,Fim de Vigência
01,1,AMARRADO/ATADO/FEIXE,2014-09-01,-
02,2,BARRICA DE FERRO,2014-09-01,-
03,3,BARRICA DE FIBRA DE VIDRO,2014-09-01,-
04,4,BARRICA DE PAPELAO,2014-09-01,-
05,5,BARRICA DE PLASTICO,2014-09-01,-
06,6,BARRICA DE OUTROS MATERIAIS,2014-09-01,-
07,7,BAU DE MADEIRA,2014-09-01,-
08,8,BAU DE METAL,2014-09-01,-
09,9,BAU DE OUTROS MATERIAIS,2014-09-01,-
10,10,BIG BAG,2014-09-01,-
11,11,BLOCO,2014-09-01,-
12,12,BOBINA,2014-09-01,-
13,13,BOMBONA,2014-09-01,-
14,14,BOTIJAO,2014-09-01,-
15,15,CAIXA CORRUGADA,2014-09-01,-
16,16,CAIXA DE ISOPOR,2014-09-01,-
17,17,CAIXA DE MADEIRA,2014-09-01,-
18,18,CAIXA DE METAL,2014-09-01,-
19,19,CAIXA DE PAPELAO,2014-09-01,-
20,20,CAIXA DE PLASTICO,2014-09-01,-
21,21,CAIXA DE OUTROS MATERIAIS,2014-09-01,-
22,22,CANUDO,2014-09-01,-
23,23,CARRETEL,2014-09-01,-
24,24,CILINDRO,2014-09-01,-
25,25,CINTADO,2014-09-01,-
26,26,ENGRADADO DE MADEIRA,2014-09-01,-
27,27,ENGRADADO DE PLASTICO,2014-09-01,-
28,28,ENGRADADO DE OUTROS MATERIAIS,2014-09-01,-
29,29,ENVELOPE,2014-09-01,-
30,30,ESTOJO,2014-09-01,-
31,31,ESTRADO,2014-09-01,-
32,32,FARDO,2014-09-01,-
33,33,FRASCO,2014-09-01,-
34,34,GALAO DE METAL,2014-09-01,-
35,35,GALAO DE PLASTICO,2014-09-01,-
36,36,GALAO DE OUTROS MATERIAIS,2014-09-01,-
37,37,GRANEL,2014-09-01,-
38,38,LATA,2014-09-01,-
39,39,MALA,2014-09-01,-
40,40,MALETA,2014-09-01,-
41,41,PACOTE,2014-09-01,-
42,42,PECA,2014-09-01,-
43,43,QUARTOLA,2014-09-01,-
44,44,ROLO,2014-09-01,-
45,45,SACA,2014-09-01,-
46,46,SACO DE ANIAGEM,2014-09-01,-
47,47,SACO DE COURO,2014-09-01,-
48,48,SACO DE LONA,2014-09-01,-
49,49,SACO DE NYLON,2014-09-01,-
50,50,SACO DE PAPEL,2014-09-01,-
51,51,SACO DE PAPELAO,2014-09-01,-
52,52,SACO DE PLASTICO,2014-09-01,-
53,53,SACO DE OUTROS MATERIAIS,2014-09-01,-
54,54,SACOLA,2014-09-01,-
55,55,SAN BAG,2014-09-01,-
56,56,TAMBOR DE METAL,2014-09-01,-
57,57,TAMBOR DE PAPELAO,2014-09-01,-
58,58,TAMBOR DE PLASTICO,2014-09-01,-
59,59,TAMBOR DE OUTROS MATERIAIS,2014-09-01,-
60,60,PALLETS,2014-09-01,-
99,99,OUTROS,2014-09-01,-
