12/01/2018 04:13,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01,AMARRADO/ATADO/FEIXE,05/07/1996,-
02,BARRICA DE FERRO,02/12/1996,-
03,BARRICA DE FIBRA DE VIDRO,02/12/1996,-
04,BARRICA DE PAPELAO,02/12/1996,-
05,BARRICA DE PLASTICO,21/12/1996,-
06,BARRICA DE OUTROS MATERIAIS,21/12/1996,-
07,BAU DE MADEIRA,21/12/1996,-
08,BAU DE METAL,21/12/1996,-
09,BAU DE OUTROS MATERIAIS,21/12/1996,-
10,BIG BAG,21/12/1996,-
11,BLOCO,21/12/1996,-
12,BOBINA,21/12/1996,-
13,BOMBONA,21/12/1996,-
14,BOTIJAO,21/12/1996,-
15,CAIXA CORRUGADA,21/12/1996,-
16,CAIXA DE ISOPOR,21/12/1996,-
17,CAIXA DE MADEIRA,21/12/1996,-
18,CAIXA DE METAL,21/12/1996,-
19,CAIXA DE PAPELAO,21/12/1996,-
20,CAIXA DE PLASTICO,21/12/1996,-
21,CAIXA DE OUTROS MATERIAIS,21/12/1996,-
22,CANUDO,21/12/1996,-
23,CARRETEL,21/12/1996,-
24,CILINDRO,21/12/1996,-
25,CINTADO,21/12/1996,-
26,ENGRADADO DE MADEIRA,21/12/1996,-
27,ENGRADADO DE PLASTICO,21/12/1996,-
28,ENGRADADO DE OUTROS MATERIAIS,21/12/1996,-
29,ENVELOPE,21/12/1996,-
30,ESTOJO,21/12/1996,-
31,ESTRADO,27/12/1996,-
32,FARDO,27/12/1996,-
33,FRASCO,27/12/1996,-
34,GALAO DE METAL,27/12/1996,-
35,GALAO DE PLASTICO,27/12/1996,-
36,GALAO DE OUTROS MATERIAIS,27/12/1996,-
37,GRANEL,27/12/1996,-
38,LATA,27/12/1996,-
39,MALA,27/12/1996,-
40,MALETA,27/12/1996,-
41,PACOTE,27/12/1996,-
42,PECA,27/12/1996,-
43,QUARTOLA,27/12/1996,-
44,ROLO,27/12/1996,-
45,SACA,27/12/1996,-
46,SACO DE ANIAGEM,27/12/1996,-
47,SACO DE COURO,27/12/1996,-
48,SACO DE LONA,27/12/1996,-
49,SACO DE NYLON,27/12/1996,-
50,SACO DE PAPEL,27/12/1996,-
51,SACO DE PAPELAO,21/12/1996,-
52,SACO DE PLASTICO,21/12/1996,-
53,SACO DE OUTROS MATERIAIS,21/12/1996,-
54,SACOLA,21/12/1996,-
55,SAN BAG,27/12/1996,-
56,TAMBOR DE METAL,27/12/1996,-
57,TAMBOR DE PAPELAO,27/12/1996,-
58,TAMBOR DE PLASTICO,27/12/1996,-
59,TAMBOR DE OUTROS MATERIAIS,27/12/1996,-
60,PALLETS,28/03/2008,-
99,OUTROS,21/12/1996,-
