12/01/2018 04:13,,,
Código,Descrição,Início de Vigência,Fim de Vigência
01,GARRAFA DE VIDRO RETORNAVEL,25/11/1996,-
02,GARRAFA DE VIDRO NAO RETORNAVEL,25/11/1996,-
03,GARRAFA DE PLASTICO RETORNAVEL,25/11/1996,-
04,GARRAFA DE PLASTICO NAO RETORNAVEL,25/11/1996,-
05,EMBALAGENS PLASTICAS,25/11/1996,-
06,LATA,25/11/1996,-
07,BARRIL,25/11/1996,-
08,CILINDROS (PRE-MIX),25/11/1996,-
09,RECIPIENTE ESPECIAL NAO RETORNAVEL,25/11/1996,-
10,"EMBALAGENS ""TETRA PAK""",05/02/1997,-
11,GARRAFA PET,28/02/2000,-
12,SACO PLASTICO,28/02/2000,-
13,EMBALAGEM,28/11/2000,-
14,EMBALAGEM CARTONADA,24/04/2003,-
20,QUALQUER RECIPIENTE,12/07/2000,-
21,QUALQUER EMBALAGEM,28/11/2002,-
22,POST MIX,22/01/2009,-
23,LATA E VIDRO,22/01/2009,-
24,VIDRO DESCARTáVEL,22/01/2009,-
