12/01/2018 04:13,,,
Código,Descrição,Início de Vigência,Fim de Vigência
11,RONDONIA-RO,01/03/1994,-
12,ACRE-AC,01/03/1994,-
13,AMAZONAS-AM,01/03/1994,-
14,RORAIMA-RR,01/03/1994,-
15,PARA-PA,01/03/1994,-
16,AMAPA-AP,01/03/1994,-
17,TOCANTINS-TO,01/03/1994,-
21,MARANHAO-MA,01/03/1994,-
22,PIAUI-PI,01/03/1994,-
23,CEARA-CE,01/03/1994,-
24,RIO GRANDE DO NORTE-RN,01/03/1994,-
25,PARAIBA-PB,01/03/1994,-
26,PERNAMBUCO-PE,01/03/1994,-
27,ALAGOAS-AL,01/03/1994,-
31,SERGIPE-SE,01/03/1994,-
32,BAHIA-BA,01/03/1994,-
33,MINAS GERAIS-MG,01/03/1994,-
34,ESPIRITO SANTO-ES,01/03/1994,-
36,RIO DE JANEIRO-RJ,01/03/1994,-
41,SAO PAULO-SP,01/03/1994,-
42,PARANA-PR,01/03/1994,-
44,SANTA CATARINA-SC,01/03/1994,-
45,RIO GRANDE DO SUL-RS,01/03/1994,-
52,MATO GROSSO-MT,01/03/1994,-
53,GOIAS-GO,01/03/1994,-
54,DISTRITO FEDERAL-DF,01/03/1994,-
55,MATO GROSSO DO SUL-MS,01/03/1994,-
95,NAO DECLARADO-ND,01/03/1994,-
97,REEXPORTACAO-RE,01/03/1994,-
