12/01/2018 04:13,,,
Código,Descrição,Início de Vigência,Fim de Vigência
10,QUILOGRAMA LIQUIDO,23/11/2016,-
11,UNIDADE,23/11/2016,-
12,MIL UNIDADES,23/11/2016,-
13,PARES,12/12/1996,-
14,METRO,23/11/2016,-
15,METRO QUADRADO,12/12/1996,-
16,METRO CUBICO,12/12/1996,-
17,LITRO,23/11/2016,-
18,MEGAWATT HORA,23/11/2016,-
19,QUILATE,23/11/2016,-
20,DUZIA,12/12/1996,-
21,TONEL.METR.LIQ.,23/03/2017,-
22,GRAMA,23/11/2016,-
23,BILHAO DE UNIDADE INTERNACIONAL,23/03/2017,-
24,QUILOGRAMA BRUTO,12/12/1996,-
25,JOGO,23/11/2016,-
