12/01/2018 04:13,,,,,
Código,Descrição,Descrição em Inglês,Descrição em Espanhol,Início de Vigência,Fim de Vigência
01,MARITIMA,-,-,01/12/1991,-
02,FLUVIAL,-,-,01/12/1991,-
03,LACUSTRE,-,-,01/12/1991,-
04,AEREA,-,-,01/12/1991,-
05,POSTAL,-,-,01/12/1991,-
06,FERROVIARIA,-,-,01/12/1991,-
07,RODOVIARIA,-,-,01/12/1991,-
08,CONDUTO / REDE TRANSMISSÃO,-,-,02/08/2000,-
09,MEIOS PROPRIOS,-,-,01/02/1995,-
10,ENTRADA/SAIDA FICTA,-,-,09/06/2000,-
11,COURIER,-,-,31/05/2016,-
12,EM MÃOS,-,-,17/11/2017,-
13,POR REBOQUE,-,-,17/11/2017,-
